graph_id,failure_count
19,10
64,19
55,241
31,55
49,55
66,7
60,25
62,22
6,7
74,14
63,29
21,96
29,54
73,21
67,85
26,52
72,18
20,7
16,36
2,5
4,128
48,56
8,26
17,151
5,9
83,42
71,118
12,30
0,2
24,77
15,94
70,108
88,29
7,5
68,26
3,166
1,3
9,158
79,18
23,3
78,105
13,90
38,16
28,81
75,111
65,134
76,18
36,24
87,48
33,139
44,17
30,275
43,25
18,98
77,61
84,1
14,39
85,38
40,2
51,129
41,1
37,59
22,99
25,9
32,89
42,37
91,3
69,128
34,33
45,165
94,4
54,10
89,2
82,59
80,131
27,237
11,194
86,84
90,79
61,238
35,108
93,26
47,71
99,51
100,172
39,48
118,11
59,71
95,41
123,74
117,86
56,6
116,2
121,52
52,87
98,69
107,20
124,49
104,17
103,210
92,99
53,186
119,76
81,104
125,189
108,97
101,52
97,89
126,81
120,94
50,62
122,8
46,128
10,316
58,14
102,284
106,80
96,175
114,15
105,5
57,129
109,111
115,40
112,32
113,248
111,45
110,228
243,3
127,36
129,7
128,6
133,32
159,128
130,14
165,122
142,267
136,61
131,4
181,51
132,244
144,40
140,6
155,217
134,226
146,12
171,1
160,91
157,12
158,75
151,138
154,239
137,250
138,67
139,40
149,159
169,59
164,270
143,196
145,26
199,13
135,24
173,118
147,47
153,245
152,159
150,148
168,39
162,14
172,124
175,42
141,14
148,105
166,9
156,211
194,39
182,166
178,95
170,46
185,17
208,7
215,49
180,40
176,66
195,112
197,122
177,68
183,103
210,5
167,176
200,6
202,40
189,27
187,175
190,43
191,44
222,4
186,78
205,105
221,78
219,53
163,229
179,73
192,91
174,163
184,129
216,71
225,38
193,125
214,111
227,14
161,237
201,4
204,114
230,104
213,5
211,60
188,60
203,143
206,62
217,123
231,89
196,102
233,41
207,43
234,52
229,66
244,118
212,50
236,56
220,137
240,16
223,74
209,97
218,10
228,3
238,15
232,27
247,5
237,3
224,61
198,297
249,27
248,109
239,23
235,61
251,84
242,1
250,50
241,2
226,31
246,126
252,192
253,120
245,155
254,63
330,17
255,245
256,56
257,6
258,139
325,64
260,7
259,125
263,90
261,29
268,39
341,145
265,234
269,170
273,27
262,11
267,3
270,79
277,114
282,50
274,9
264,97
271,89
284,146
272,153
266,30
278,132
288,32
291,6
283,101
295,116
276,164
285,45
275,49
286,75
280,18
297,100
294,16
281,36
304,11
290,23
293,46
279,69
299,13
296,126
287,54
289,68
317,65
306,38
311,78
292,124
305,33
302,116
333,29
300,112
314,23
339,49
316,33
331,124
326,41
298,178
313,11
307,5
320,74
332,167
336,17
315,95
362,4
312,103
309,89
324,80
334,88
301,118
342,170
361,14
323,12
346,14
303,203
319,57
308,266
335,158
337,235
371,24
321,114
322,284
338,9
352,139
345,10
376,48
349,19
328,113
329,118
353,169
310,237
343,117
356,7
372,51
351,105
350,40
327,109
355,1
347,11
318,307
348,48
357,165
373,26
340,47
369,139
366,4
368,9
358,214
363,46
380,61
359,4
365,7
360,203
367,5
354,91
375,7
370,8
374,115
344,283
364,84
377,121
379,65
378,216
381,21
382,37
383,10
384,2
385,84
431,13
471,276
386,6
388,24
389,39
460,231
396,85
391,3
387,84
394,81
390,65
398,122
392,170
393,125
395,19
404,36
397,8
408,37
401,84
400,182
407,34
409,5
405,91
412,158
430,41
406,127
416,11
421,78
414,44
413,12
399,229
426,47
419,10
417,184
402,106
403,158
429,9
411,43
432,17
425,108
415,106
422,39
428,25
418,43
423,28
420,38
427,110
454,20
410,237
438,23
447,19
439,16
462,5
440,255
435,94
441,146
433,5
458,6
452,18
464,9
424,46
453,2
448,118
474,7
437,17
443,99
450,0
463,65
468,24
434,107
446,229
442,47
466,73
478,8
436,5
483,9
461,119
449,21
457,10
470,93
459,50
445,41
494,13
444,122
493,74
467,63
489,236
487,108
455,7
473,7
499,29
477,168
456,293
465,4
472,75
490,101
481,27
479,20
451,186
475,136
492,161
488,11
495,40
469,223
485,7
480,118
482,12
484,16
500,54
476,284
503,232
502,4
486,256
498,11
505,14
501,77
491,287
496,70
504,119
497,206
507,103
506,4
508,109
509,17
590,29
510,211
511,13
512,15
513,76
514,84
515,16
543,38
519,11
518,39
520,88
522,50
516,123
523,2
524,34
517,59
521,88
527,95
526,134
528,88
525,253
535,34
531,26
539,240
532,14
541,40
537,278
530,8
538,126
536,126
554,56
529,217
533,106
551,80
542,3
534,111
555,10
545,1
562,27
547,91
553,144
565,17
560,97
550,136
552,47
559,21
556,27
557,31
540,279
566,8
546,145
544,89
548,57
549,225
558,92
575,72
571,5
572,45
570,51
563,174
568,44
564,80
561,12
574,159
579,6
576,4
567,37
569,45
582,20
580,68
585,111
600,71
581,100
592,19
573,308
591,44
604,38
595,2
577,7
586,134
578,151
599,51
593,48
589,75
584,121
598,45
583,27
594,69
588,130
608,72
605,89
587,282
596,3
603,116
609,78
606,71
610,39
622,17
617,13
607,10
611,69
620,110
601,3
619,102
623,126
624,138
618,49
612,36
597,8
615,50
614,54
602,252
629,81
632,15
630,33
613,130
628,31
616,152
621,125
633,1
626,30
627,85
631,156
634,159
625,105
635,242
637,35
638,69
636,55
640,19
639,56
641,110
643,59
642,102
644,10
647,92
654,54
650,18
645,56
648,28
655,6
646,213
651,72
652,77
649,82
653,0
664,41
658,29
662,14
656,4
660,7
663,23
661,9
665,28
659,11
657,101
674,68
667,21
670,11
675,26
686,125
713,52
668,44
666,9
681,118
671,139
672,27
676,34
682,45
679,123
680,86
691,33
687,130
673,186
694,1
701,15
678,213
690,3
698,17
685,64
695,120
683,22
689,2
688,22
697,153
677,17
669,74
693,67
684,15
696,47
692,291
700,113
706,44
702,22
705,4
708,19
709,6
710,264
716,44
711,55
704,104
714,125
699,5
707,243
703,44
718,67
715,15
712,59
726,35
720,39
719,23
727,11
717,72
725,123
739,14
723,4
741,43
721,18
722,41
728,14
740,34
730,82
733,15
732,9
735,13
734,27
736,76
744,5
756,49
729,191
745,107
743,5
747,50
724,199
742,105
738,87
753,9
752,11
749,59
731,173
748,130
737,308
751,176
750,27
746,123
754,109
758,0
757,27
755,121
760,17
759,146
761,170
764,32
762,275
763,13
765,53
766,26
767,79
768,35
769,170
770,60
773,89
772,133
771,43
799,199
776,65
774,3
779,37
784,10
778,3
775,267
787,5
777,275
785,15
789,8
782,40
790,42
788,36
786,48
783,117
792,15
791,14
780,69
793,63
796,115
781,145
794,109
797,9
795,214
813,2
798,29
801,124
809,22
815,21
812,28
817,105
808,118
802,4
803,19
804,84
824,34
800,113
821,7
805,53
806,130
827,22
810,105
826,13
807,118
819,24
816,179
814,192
811,7
833,128
828,4
820,30
834,174
832,20
840,103
829,263
823,132
831,90
825,98
818,120
835,23
838,3
830,27
822,112
836,84
842,159
849,16
845,13
847,21
837,54
846,69
841,54
844,43
843,54
858,7
839,158
851,148
853,78
860,70
852,81
857,11
856,57
865,33
864,20
848,166
855,85
850,271
854,281
867,5
859,40
863,19
883,36
861,15
869,108
870,25
880,9
884,39
871,56
874,25
866,2
875,3
878,4
872,97
879,51
868,172
876,266
886,15
877,77
882,67
862,96
885,285
881,249
887,73
888,131
873,220
889,113
891,4
890,94
902,151
896,305
926,25
922,6
973,25
892,5
986,2
977,235
937,270
988,18
990,98
997,84
999,121
959,223
941,157
940,179
895,175
971,111
893,68
963,93
894,26
982,8
920,61
897,24
934,59
933,4
962,89
944,83
927,95
956,194
898,237
949,19
966,79
918,22
913,42
911,24
931,102
899,17
905,2
936,66
935,30
901,53
923,224
900,205
924,19
910,128
964,21
979,131
957,7
960,60
996,163
943,142
948,15
976,14
914,23
954,22
916,44
974,64
970,158
903,80
904,168
972,9
975,46
985,118
908,30
925,0
955,205
928,115
947,6
952,23
993,27
907,132
917,242
906,34
987,170
909,92
915,127
967,10
932,200
921,55
995,257
919,70
994,287
945,23
939,127
912,53
980,45
930,3
942,90
978,273
938,27
929,23
953,76
950,2
946,66
951,166
958,26
961,108
969,168
965,188
998,300
968,19
989,69
991,69
983,234
984,25
981,20
992,272
