Bi-Mutual,Cascade,Clique,FBL,FFL,Fan-In,Fan-Out,Mutual-Cascade,Mutual-In,Mutual-Out,Regulated-Mutual,Regulating-Mutual,Semi-Clique,graph_id
0,5364,0,0,717,4175,260699,0,0,0,0,0,0,19
0,5864,0,4,496,4346,260743,0,3,145,0,16,0,64
1,4490,0,2,660,3617,259903,2,7,733,1,58,0,55
1,5355,0,0,692,3995,260129,2,13,551,1,20,0,31
3,5004,0,0,658,3989,259296,1,25,1372,0,43,0,49
0,5505,0,0,800,4109,260395,0,6,223,0,0,0,66
0,5559,0,3,761,4074,260655,0,0,0,0,0,0,60
0,5386,0,1,627,4216,261058,0,8,157,0,2,0,62
0,5809,0,5,673,4224,260605,0,2,138,0,0,0,6
1,6035,0,0,486,4371,260770,0,19,159,0,0,0,74
0,5296,0,1,759,4034,260094,0,13,530,3,15,0,63
0,5820,0,3,612,3998,260768,0,4,35,1,0,0,21
0,4231,0,0,724,3951,259543,1,5,1003,1,72,0,29
1,5508,0,4,817,3991,260341,1,15,244,4,4,0,73
0,5116,0,1,617,4003,260057,2,15,710,3,14,0,67
0,5018,0,4,566,4151,260331,0,7,465,0,27,0,26
0,5020,0,0,437,4425,260744,0,2,231,0,2,0,72
0,5683,0,0,559,4314,260713,0,20,134,2,4,0,20
0,4880,0,1,621,4123,259861,0,11,812,4,59,0,16
1,5065,0,2,619,4244,260041,0,22,703,2,25,0,2
0,4908,0,1,607,3832,259878,0,8,836,0,52,1,4
0,5679,0,1,683,4064,260733,0,0,0,0,0,0,48
0,5668,0,2,564,4270,260800,0,11,46,0,3,0,8
1,5402,0,1,619,3877,260330,0,2,456,0,5,0,17
1,4852,0,0,457,4364,259898,0,15,920,0,70,0,5
0,5656,0,1,518,4309,260898,0,0,0,0,0,0,83
0,5039,0,0,730,3840,260439,0,7,241,0,3,0,71
0,5280,0,3,529,4252,260161,0,11,652,0,37,0,12
0,5151,0,1,520,4364,260035,1,12,782,0,39,0,0
0,4519,0,0,619,4038,259749,1,12,999,0,24,0,24
0,4586,0,0,581,3971,259312,4,20,1400,1,59,0,15
0,4716,0,1,475,4083,260136,0,10,747,0,29,0,70
2,4325,0,0,397,4319,259156,0,31,1671,2,94,0,88
0,5368,0,1,751,4142,260089,1,14,545,0,15,0,7
0,4771,0,1,412,4328,259828,1,13,1015,0,80,0,68
0,5294,0,0,642,3798,260394,1,8,337,0,21,0,3
0,5876,0,3,667,4262,260749,0,0,0,0,0,0,1
0,5846,0,2,461,4054,260955,0,0,0,0,0,0,9
0,6042,0,0,492,4357,260825,1,4,98,0,0,0,79
0,5399,0,1,539,4336,260124,0,10,669,2,41,0,23
0,5590,0,1,682,3946,260734,0,0,0,0,0,0,78
0,5475,0,1,645,4000,260771,0,0,0,0,0,0,13
0,5879,0,0,531,4310,260589,2,10,266,0,14,0,38
1,4702,0,0,602,4029,259661,0,5,1054,0,49,0,28
0,4952,0,1,562,3937,260126,2,10,666,0,29,1,75
0,4951,0,1,841,3633,259721,2,18,706,2,72,0,65
2,4799,0,1,581,4228,259744,0,4,943,0,73,0,76
0,5524,0,3,750,4080,260580,0,8,83,3,0,0,36
1,5480,0,0,560,4165,260481,0,18,365,1,4,0,87
0,5715,0,2,598,3941,260771,0,5,47,0,0,0,33
0,5223,0,4,615,4237,260499,0,2,279,1,11,0,44
0,4388,0,0,559,3690,259966,0,5,811,0,40,0,30
0,5621,0,2,499,4358,260649,0,1,250,0,9,0,43
0,5534,0,1,547,4073,260869,0,0,0,0,0,0,18
0,5421,0,1,776,3903,260326,0,18,297,1,8,0,77
0,6154,0,3,549,4397,260867,0,0,0,0,0,0,84
0,5281,0,2,677,4138,260739,0,0,0,0,0,0,14
0,5213,0,1,688,4053,260480,1,13,232,1,7,0,85
0,5494,0,1,629,4283,260245,0,13,513,1,14,0,40
0,5362,0,1,557,3976,260681,0,3,170,0,4,0,51
0,5577,0,0,523,4388,260728,2,18,563,0,15,0,41
0,5677,0,0,542,4176,260874,0,0,0,0,0,0,37
0,5005,0,1,643,3978,260535,0,2,230,0,4,0,22
0,5147,0,2,739,4145,260215,0,12,421,1,20,0,25
0,5245,0,1,570,4050,260553,1,5,284,0,4,0,32
0,5464,0,4,636,4138,260697,1,7,82,0,0,0,42
0,5792,0,1,737,4198,260501,0,3,172,0,3,0,91
0,4949,0,0,584,3906,259986,1,7,768,1,38,0,69
