assortiativity_out_in,assortiativity_out_out,assortiativity_in_in,assortiativity_in_out,avg_clustering_dir,avg_clustering_undir,avg_degree,avg_path_dir,avg_path_undir,density,diameter,diameter_undir,nb_edges,nb_nodes,graph_id
-0.1762,-0.0106,0.0274,-0.0151,0.0488,0.0977,4.8463,3.3811,3.2391,0.0016417,9,8,3579,1477,19
-0.1391,-0.058,0.1277,0.0107,0.0311,0.0611,4.8463,3.3357,3.3609,0.0016417,9,9,3579,1477,64
0.04,-0.0039,0.0552,0.0264,0.0538,0.1017,4.8463,3.8725,3.3119,0.0016417,10,8,3579,1477,55
-0.2012,0.0035,0.129,0.0008,0.0516,0.1017,4.8463,3.6302,3.2004,0.0016417,12,8,3579,1477,31
-0.1301,-0.0017,-0.0462,-0.0017,0.0533,0.0992,4.8463,3.0178,3.2131,0.0016417,8,10,3579,1477,49
-0.034,-0.0037,-0.0673,-0.0091,0.045,0.09,4.8463,2.782,3.3045,0.0016417,7,11,3579,1477,66
-0.0385,-0.0232,0.0858,-0.0048,0.043,0.086,4.849,3.8362,3.3299,0.0016426,10,10,3581,1477,60
-0.0436,-0.0092,-0.0673,-0.0003,0.0409,0.0817,4.8477,3.3536,3.2488,0.0016422,10,8,3580,1477,62
-0.1633,-0.0312,0.0522,0.0103,0.0439,0.0877,4.8477,3.5715,3.2897,0.0016422,11,8,3580,1477,6
-0.0366,-0.0315,-0.0988,-0.0281,0.038,0.076,4.845,2.9957,3.246,0.0016412,8,8,3578,1477,74
-0.108,0.001,0.0815,0.0029,0.0532,0.1047,4.849,4.3374,3.2402,0.0016426,10,8,3581,1477,63
0.0598,-0.014,-0.0556,-0.0127,0.0442,0.0883,4.845,3.5169,3.2968,0.0016412,10,8,3578,1477,21
-0.0844,0.0101,0.0508,-0.0096,0.0527,0.0941,4.8463,2.979,3.2822,0.0016417,10,8,3579,1477,29
-0.0754,-0.0104,0.1021,0.0183,0.0558,0.1114,4.8477,4.3898,3.2414,0.0016422,10,8,3580,1477,73
-0.1204,-0.0168,0.0476,0.0159,0.0454,0.0892,4.8463,3.3491,3.2592,0.0016417,9,8,3579,1477,67
0.0204,0.0056,-0.1445,0.0097,0.044,0.0858,4.8463,3.5932,3.2505,0.0016417,9,8,3579,1477,26
-0.0982,-0.0335,-0.0254,-0.0346,0.0331,0.0654,4.8477,3.1028,3.3146,0.0016422,9,9,3580,1477,72
-0.2327,-0.0296,0.0869,-0.0077,0.0401,0.08,4.845,6.0138,3.2237,0.0016412,16,8,3578,1477,20
-0.0876,-0.0041,0.0042,-0.01,0.0508,0.0916,4.845,4.383,3.2681,0.0016412,12,7,3578,1477,16
-0.0531,-0.0155,0.0794,-0.0055,0.0404,0.0785,4.8463,5.1999,3.2595,0.0016417,15,8,3579,1477,2
