graph_id,failure_count
39,315
53,61
29,38
84,137
6,344
9,5
0,158
33,4
3,102
1,11
125,2
2,69
57,11
5,29
71,14
50,16
70,63
79,5
68,16
83,96
76,48
59,15
63,67
81,119
64,82
22,26
75,34
52,255
61,126
26,60
69,188
23,26
60,20
89,21
78,18
90,1
73,39
72,199
66,60
77,6
97,39
102,4
91,74
13,52
100,46
55,319
14,42
74,24
54,15
56,2
105,120
103,4
10,18
115,8
85,165
40,146
27,19
34,84
117,0
11,55
96,16
8,81
17,41
106,214
110,14
87,24
38,62
93,83
82,35
108,95
62,13
37,11
92,33
123,19
126,5
21,376
42,10
36,29
49,88
4,33
46,301
35,73
122,11
94,92
18,64
20,32
44,246
31,206
65,274
114,22
47,90
45,323
124,1
24,46
28,278
25,53
16,4
86,54
15,349
7,153
48,25
12,35
112,36
43,338
41,7
30,347
101,72
99,140
58,345
51,262
104,5
32,333
107,6
111,75
119,353
80,280
116,56
88,10
118,71
113,2
98,305
109,7
19,374
121,172
95,36
120,40
67,56
127,12
243,26
128,18
129,193
130,34
193,19
132,2
184,5
131,10
202,96
135,44
136,6
137,35
133,367
134,292
145,69
163,13
138,14
139,118
142,9
150,333
144,102
148,35
151,92
141,97
153,94
149,56
162,64
167,227
140,9
171,11
147,29
172,2
157,19
165,101
178,47
214,2
155,100
166,4
146,28
143,132
169,18
164,6
152,6
161,15
181,222
177,61
156,55
230,1
179,14
188,6
168,172
175,58
185,37
173,145
200,16
160,65
174,42
158,101
190,32
170,228
197,31
182,41
187,8
154,367
176,62
194,7
205,5
191,22
198,217
159,343
192,29
203,19
199,8
189,3
206,22
215,26
210,65
213,27
209,135
219,35
183,180
204,20
220,30
195,24
228,59
207,40
208,78
201,10
226,55
223,27
180,343
247,4
212,45
218,17
196,244
227,13
237,16
236,268
229,112
246,69
240,35
224,33
238,50
211,225
242,5
244,17
217,207
233,19
239,85
232,374
249,41
248,59
245,19
225,73
250,43
235,276
234,321
222,328
241,23
231,315
216,253
252,47
221,295
251,173
253,217
186,311
254,12
255,23
256,35
257,13
258,26
260,35
259,22
261,20
262,71
361,30
266,21
263,194
265,162
264,9
291,7
339,11
271,21
274,51
273,108
292,12
268,383
275,38
278,188
270,213
272,70
288,195
277,340
269,122
295,2
289,19
267,309
296,14
290,44
284,82
298,59
282,131
279,17
283,63
276,220
287,178
300,20
294,7
285,64
281,52
280,210
293,59
308,29
286,236
310,20
309,98
313,23
299,94
302,211
303,31
301,167
319,95
325,2
331,32
306,63
297,85
335,15
304,65
330,38
326,19
312,17
333,142
307,37
316,115
334,141
315,12
305,77
323,17
322,94
340,6
327,11
332,130
321,38
314,297
320,17
328,19
317,74
345,4
329,73
338,12
336,396
337,66
346,27
344,4
342,156
341,18
349,60
318,200
347,172
324,108
311,194
343,21
348,4
364,146
365,72
360,24
366,50
352,166
351,68
362,177
367,83
363,66
370,39
350,35
373,5
355,331
372,26
359,117
369,17
356,75
353,283
357,164
358,25
354,95
375,223
368,4
376,133
371,60
380,74
377,18
379,7
374,333
378,173
447,43
381,263
382,19
436,44
384,6
383,220
385,103
386,25
387,20
388,7
389,27
393,5
390,16
406,3
395,2
391,155
438,46
397,276
396,75
392,3
411,24
398,4
409,5
412,2
394,72
401,34
402,7
403,82
405,25
399,9
420,14
427,64
415,48
410,76
425,9
421,55
413,38
418,31
407,17
408,48
426,13
404,116
419,15
417,25
423,22
414,5
422,35
400,339
424,97
432,75
500,5
430,63
429,84
428,18
431,10
434,5
416,297
450,4
448,13
433,93
442,23
440,14
435,12
441,30
452,4
439,26
453,7
437,181
458,47
462,13
446,177
443,93
455,25
459,311
445,349
457,13
471,16
460,4
444,205
454,104
456,7
474,16
469,33
451,10
467,14
465,130
473,39
466,185
468,11
463,98
464,47
477,14
475,157
476,33
483,122
449,2
470,185
482,11
481,5
480,68
472,103
461,295
488,44
486,26
490,87
485,149
491,68
493,367
489,12
496,1
487,54
478,91
494,2
502,154
495,30
479,4
497,27
484,144
498,4
492,204
499,12
503,96
501,12
506,18
505,35
507,45
504,211
582,13
508,32
509,22
510,208
511,86
512,14
513,28
514,6
515,62
516,210
519,18
517,112
595,37
524,117
529,18
522,54
533,18
520,323
518,285
528,39
521,4
523,29
543,22
525,57
536,13
551,5
531,16
526,26
527,16
557,3
542,63
532,17
546,55
530,262
553,19
538,8
540,42
537,41
545,26
534,382
550,32
547,9
559,7
548,19
552,9
541,85
539,9
535,52
549,74
556,94
554,24
561,9
544,7
562,17
569,128
567,28
563,59
558,11
555,7
601,40
570,192
576,27
566,196
568,16
575,13
564,372
565,148
584,69
587,108
603,12
578,200
579,2
560,54
577,88
572,8
580,21
585,184
590,102
571,19
573,141
593,76
583,232
588,12
581,316
591,27
574,181
594,120
607,13
597,23
592,84
596,38
586,371
589,213
609,34
600,8
598,186
599,98
618,15
610,10
621,65
605,363
606,4
629,1
604,77
625,9
608,69
611,190
627,63
631,31
615,23
602,224
614,72
622,79
612,158
623,20
620,21
626,10
613,85
624,25
617,225
616,270
628,302
619,122
633,13
634,3
630,240
632,292
635,7
636,3
637,233
660,25
638,23
639,4
671,286
640,78
665,79
641,75
643,23
644,67
645,11
642,261
679,12
651,7
646,257
650,5
647,14
649,4
654,38
655,4
648,153
659,12
677,2
667,255
672,34
661,37
656,176
664,14
673,34
675,22
657,29
668,9
652,47
683,35
676,3
670,36
685,10
678,39
662,175
653,92
684,12
666,16
681,161
669,116
674,127
663,179
688,107
680,205
689,79
693,12
658,386
687,25
682,5
686,335
702,49
696,36
692,42
695,112
700,32
704,68
690,329
691,183
708,35
699,40
701,7
705,84
697,20
698,88
703,4
712,46
706,10
694,137
707,36
709,8
716,148
710,173
717,420
715,194
722,5
711,79
719,107
714,28
718,103
735,24
720,20
713,147
743,30
725,26
745,28
724,188
723,40
728,135
729,11
726,192
727,296
733,9
730,63
737,16
732,42
731,5
741,10
734,2
744,11
721,360
746,3
739,19
742,67
750,3
740,6
749,56
754,185
748,142
736,161
755,56
738,185
753,38
747,21
760,46
757,23
752,298
759,3
751,205
756,148
758,306
761,26
801,5
762,92
764,12
765,50
763,9
768,30
767,43
766,17
770,20
769,15
771,17
772,42
776,15
781,8
775,2
774,7
779,147
791,27
787,76
773,94
784,73
782,6
793,5
783,77
795,78
794,6
800,22
788,8
777,4
789,93
807,99
798,16
804,79
786,8
808,66
778,33
797,41
799,35
810,2
790,38
811,69
785,199
813,144
780,45
796,185
814,11
792,4
816,3
817,38
806,61
827,18
822,180
832,26
805,5
812,22
818,17
829,16
802,117
821,15
803,71
823,31
819,13
826,72
809,151
846,10
820,18
834,75
815,2
836,79
828,75
833,51
824,37
831,12
840,244
830,184
844,4
825,53
837,187
839,75
835,31
842,96
845,52
843,75
838,142
847,146
852,19
861,11
858,132
841,12
853,8
857,12
856,224
860,16
864,16
859,42
848,11
870,23
851,8
850,110
862,43
863,317
865,9
872,9
854,169
849,42
871,76
855,53
874,26
866,9
869,273
868,99
882,4
875,3
881,107
876,177
873,223
880,23
877,39
886,82
883,24
867,158
888,4
885,9
879,347
878,183
887,149
884,367
889,35
890,6
908,5
923,5
949,330
942,20
948,21
961,90
992,79
967,16
976,203
986,60
945,20
996,90
943,86
924,3
928,13
982,8
891,110
896,52
983,100
968,30
893,7
895,60
921,27
966,58
894,60
911,10
892,17
926,1
898,9
900,162
897,115
918,3
909,12
930,56
919,19
938,19
904,3
952,156
959,32
910,23
899,26
901,88
915,47
936,20
956,35
922,14
917,367
933,9
925,44
939,184
902,7
920,12
932,39
946,82
940,42
951,19
971,33
960,97
979,29
916,13
906,335
954,38
950,30
912,162
929,340
903,47
913,16
941,69
927,4
975,105
970,22
905,191
931,24
914,277
988,55
987,64
995,4
947,21
973,5
937,79
999,11
958,27
955,72
935,91
964,2
984,67
907,144
944,171
990,16
994,27
953,221
963,171
974,25
969,47
934,14
957,87
978,359
989,23
972,14
997,0
998,22
977,52
981,164
980,30
965,299
993,166
962,274
991,44
985,117
