Bi-Mutual,Cascade,Clique,FBL,FFL,Fan-In,Fan-Out,Mutual-Cascade,Mutual-In,Mutual-Out,Regulated-Mutual,Regulating-Mutual,Semi-Clique,graph_id
0,6493,0,0,833,2667,244432,0,10,584,1,1,0,39
0,6919,0,3,541,3411,244700,2,19,592,1,8,0,53
0,6707,0,6,937,3129,244388,0,2,515,0,6,0,29
0,5966,0,0,611,3018,244008,0,9,1070,1,81,0,84
1,6363,0,5,739,2672,244018,4,7,1068,0,11,0,6
3,6181,0,7,599,3548,243809,2,43,1309,2,64,0,9
1,5350,0,2,680,2756,243462,1,6,1194,0,256,1,0
3,5222,0,2,465,3671,242924,1,19,2260,1,99,0,33
0,6785,0,5,638,3222,244556,2,5,662,0,4,0,3
0,6841,0,1,581,3603,244592,0,19,656,1,11,0,1
0,7281,0,4,579,3682,244907,0,17,367,0,3,0,125
3,4943,0,2,533,3157,242801,5,15,2048,0,229,2,2
1,6538,0,4,473,3674,244270,1,21,1003,0,52,0,57
1,7068,0,3,427,3686,244830,3,13,578,1,6,0,5
0,6835,0,3,564,3571,244577,1,9,606,0,52,0,71
3,6015,0,3,677,3488,243626,3,6,1527,0,8,0,50
1,6853,0,2,432,3527,244735,0,29,667,3,7,0,70
0,7197,0,3,809,3446,244803,1,6,234,1,2,0,79
1,6168,0,2,551,3571,243836,1,3,1343,0,60,0,68
0,7351,0,5,685,3189,245158,0,4,9,0,0,0,83
0,6827,0,4,651,3396,244657,0,3,530,0,7,0,76
0,7146,0,6,625,3557,244895,1,4,311,0,10,0,59
0,6366,0,2,630,3310,244459,0,13,739,2,11,0,63
0,6893,0,0,868,2992,244958,0,3,26,0,0,0,81
0,6868,0,0,584,3248,244849,0,5,281,0,69,0,64
0,6353,0,2,719,3322,244117,1,14,900,5,55,0,22
1,6266,0,3,849,3220,243911,0,6,1017,0,37,0,75
0,6552,0,5,562,2966,244733,0,3,533,0,12,0,52
0,5979,0,0,705,2890,244281,0,3,438,0,214,0,61
0,6355,0,2,833,3146,244189,1,18,810,2,13,0,26
0,6176,0,0,699,2986,244042,1,14,1065,1,22,0,69
1,6085,0,2,454,3619,243781,2,19,1520,0,47,0,23
0,6694,0,2,680,3444,244343,0,7,719,0,55,0,60
0,7203,0,3,572,3575,244948,1,4,299,0,16,0,89
0,6741,0,4,420,3651,244476,1,19,774,1,89,1,78
0,6848,0,2,504,3745,244460,1,13,856,1,15,0,90
1,7031,0,6,603,3446,244740,0,12,480,4,12,0,73
1,5952,0,4,637,2959,244103,0,11,1098,1,6,0,72
0,7221,0,8,715,3259,244923,0,11,211,1,1,0,66
2,5464,0,4,468,3591,243215,0,10,1809,0,178,1,77
0,6269,0,4,532,3520,244083,2,21,1209,0,12,1,97
0,6771,0,4,806,3433,244468,0,18,577,1,0,0,102
0,7358,0,1,630,3316,245060,1,4,155,0,3,0,91
0,6395,0,3,844,3118,244207,2,2,657,0,71,0,13
0,5791,0,2,564,3357,243529,2,23,1497,0,128,2,100
0,5244,0,2,532,2949,244837,0,4,392,1,45,0,55
0,7269,0,1,516,3517,245141,0,16,190,1,2,0,14
2,5802,0,1,513,3509,243500,2,21,1628,1,103,0,74
0,7129,0,4,690,3477,244797,1,28,352,0,6,0,54
0,7141,0,3,662,3577,244762,0,13,392,0,23,0,56
0,7104,0,1,632,3168,244935,2,23,275,2,3,0,105
