assortiativity_out_in,assortiativity_out_out,assortiativity_in_in,assortiativity_in_out,avg_clustering_dir,avg_clustering_undir,avg_degree,avg_path_dir,avg_path_undir,density,diameter,diameter_undir,nb_edges,nb_nodes,graph_id
0.0875,-0.0073,0.0646,-0.0157,0.0685,0.1368,4.5065,3.9566,3.3264,0.0014718,12,8,3452,1532,39
-0.1404,-0.025,-0.0014,0.003,0.0414,0.0821,4.5091,4.808,3.2935,0.0014726,11,8,3454,1532,53
0.057,-0.0038,-0.0104,-0.0169,0.0701,0.1397,4.5091,4.3108,3.3914,0.0014726,12,7,3454,1532,29
0.0014,-0.0019,-0.04,-0.0256,0.0608,0.1119,4.5065,6.3482,3.3304,0.0014718,19,7,3452,1532,84
0.0553,-0.0065,0.0409,-0.0013,0.0707,0.1387,4.5091,4.748,3.3013,0.0014726,12,10,3454,1532,6
-0.1566,-0.007,-0.0403,0.0089,0.0589,0.1065,4.5065,5.9284,3.2874,0.0014718,16,7,3452,1532,9
0.0818,0.0158,0.1008,0.0167,0.0812,0.1284,4.5078,4.3694,3.3572,0.0014722,12,10,3453,1532,0
-0.1275,0.0011,-0.0622,0.003,0.0535,0.0947,4.5078,5.6864,3.2793,0.0014722,16,7,3453,1532,33
-0.0848,-0.0144,-0.0305,-0.009,0.0525,0.1045,4.5078,6.1413,3.2378,0.0014722,15,7,3453,1532,3
-0.2045,-0.0196,-0.0041,-0.0281,0.0438,0.0859,4.5065,4.8848,3.2647,0.0014718,14,7,3452,1532,1
-0.0321,-0.0267,-0.0956,-0.0333,0.0427,0.0844,4.5078,5.5059,3.3174,0.0014722,13,8,3453,1532,125
0.0091,0.0088,0.0873,0.0489,0.0794,0.1181,4.5078,4.9443,3.3389,0.0014722,13,8,3453,1532,2
-0.1629,-0.0237,-0.0315,-0.0177,0.0464,0.0868,4.5065,5.3803,3.2792,0.0014718,15,7,3452,1532,57
-0.2478,-0.037,-0.0341,-0.001,0.0347,0.0688,4.5065,5.202,3.2558,0.0014718,15,7,3452,1532,5
-0.1561,-0.0003,-0.1274,-0.0188,0.0562,0.1042,4.5065,4.2919,3.2134,0.0014718,13,7,3452,1532,71
-0.1324,-0.0103,-0.0292,0.0247,0.052,0.1023,4.5065,5.4229,3.2552,0.0014718,15,7,3452,1532,50
