graph_id,failure_count
115,768
46,382
49,283
31,1033
48,716
47,1009
23,794
101,408
94,21
52,544
2,1169
53,804
43,491
8,188
89,616
17,246
69,456
45,1113
124,222
19,229
18,361
58,511
92,97
27,311
11,509
74,725
65,459
86,461
20,403
56,734
75,583
76,891
87,1010
37,1341
70,690
60,760
1,1090
105,398
40,592
12,441
73,803
51,1215
71,933
126,839
7,517
66,905
114,945
122,369
68,430
4,324
39,905
120,332
121,860
34,1524
79,435
32,1088
107,858
109,1318
0,451
108,1383
97,547
55,799
95,365
42,753
30,432
21,1166
13,102
29,461
61,597
3,760
106,308
103,176
84,1005
6,160
118,762
63,571
44,1122
26,803
59,913
62,203
125,1610
35,668
99,820
14,304
33,872
80,1097
82,732
104,928
123,1526
98,341
67,1185
77,1026
81,1069
15,135
5,1069
28,758
102,781
9,921
78,1036
91,526
116,1067
64,290
25,1228
88,1237
72,636
111,1035
54,126
110,469
38,898
22,1295
112,833
24,1535
83,152
41,547
57,367
50,619
90,619
96,1582
85,778
117,1150
16,880
119,1193
100,864
10,589
113,1497
93,1571
36,1149
127,594
129,490
128,764
130,1003
138,357
141,405
132,904
139,1008
135,369
133,571
148,684
199,188
131,784
157,487
173,875
184,873
150,384
152,537
211,642
147,620
149,263
144,1596
174,516
140,804
180,281
164,1114
159,772
161,132
142,567
158,1602
197,304
145,674
175,873
155,249
160,967
137,909
153,541
146,1192
169,548
154,1224
213,1171
134,1173
156,1062
208,1135
206,1395
177,1025
136,1542
216,105
221,404
170,1131
242,1083
237,478
163,1034
204,780
187,919
189,883
217,477
241,93
198,345
182,1349
230,1186
223,782
195,467
190,1608
220,685
207,1000
194,655
192,653
181,821
244,203
143,1042
191,1065
243,1577
200,1262
183,1134
165,901
231,992
196,1599
162,1171
224,260
188,950
226,977
236,912
205,856
166,1257
186,1086
167,1217
233,1264
232,223
248,1017
240,576
229,992
235,1534
245,1576
209,986
214,1464
201,439
219,1469
172,1491
179,1067
247,787
215,986
202,114
246,476
185,1049
171,1163
210,1226
222,941
178,1578
151,1007
218,307
251,785
212,917
227,1542
228,396
203,1059
249,1027
239,1286
176,1001
238,1086
234,876
252,827
225,246
168,1164
250,632
253,848
193,586
254,188
255,1165
256,1605
291,453
264,1132
274,121
257,858
261,713
284,86
302,234
258,1024
276,806
259,1594
271,271
267,977
280,598
260,708
289,283
272,135
262,1607
265,797
300,118
296,714
273,176
287,1264
269,713
321,592
316,148
263,1621
268,1136
278,1189
266,308
279,67
292,280
282,691
301,156
327,498
275,277
303,868
315,819
285,705
376,695
270,1645
328,534
277,1593
324,430
374,972
299,393
306,485
333,1286
297,705
372,198
283,1419
307,817
308,1619
288,805
343,676
304,791
281,532
332,231
336,1359
358,538
338,59
318,328
335,777
371,215
360,627
312,696
325,1185
346,442
339,176
314,200
305,864
330,1039
310,853
340,1179
311,791
367,1244
293,995
351,828
323,222
317,915
363,582
331,478
298,749
347,305
319,698
348,316
286,1153
364,629
322,170
329,629
334,1519
365,651
295,620
344,411
294,902
357,509
290,900
355,627
354,325
313,1047
373,412
349,757
326,1458
366,877
375,185
341,639
342,1296
378,642
309,773
356,1147
362,988
352,509
359,801
369,425
368,138
350,1564
377,1281
345,1564
337,1054
361,1622
353,1175
370,912
379,1024
380,779
320,1269
381,526
382,344
383,424
387,218
386,538
384,894
390,102
394,795
395,1590
388,764
389,1302
397,900
398,128
400,1518
385,1139
391,1052
428,286
402,1131
399,186
403,604
392,811
404,1038
393,776
396,789
424,1572
414,795
422,758
401,1615
412,1026
423,38
417,814
408,1403
407,625
425,899
431,692
483,148
418,1006
419,805
457,425
405,789
445,888
438,1551
494,488
440,1182
413,788
416,906
420,423
443,166
410,423
470,310
478,570
441,746
435,528
429,1048
449,1164
444,555
432,888
498,45
484,851
415,794
427,577
475,515
481,894
406,524
459,62
411,1007
477,213
487,643
462,186
472,194
426,1073
460,1538
409,832
471,524
455,801
436,318
453,173
434,778
496,1094
464,808
421,506
476,868
479,163
485,856
491,161
437,1277
454,464
452,256
473,422
430,991
469,462
439,934
468,822
448,1390
466,1095
489,542
492,766
474,597
458,897
502,369
497,838
480,521
447,1061
488,617
495,85
446,416
450,1114
463,585
451,957
442,595
490,685
433,848
465,642
500,492
467,1505
482,294
461,995
486,1357
456,693
505,730
501,858
493,1451
504,488
506,637
503,847
499,1550
507,807
508,413
509,750
510,1240
511,1091
513,1290
512,390
516,206
521,552
514,1629
520,777
518,635
517,329
523,421
522,744
527,107
515,342
519,775
531,579
526,922
534,816
529,1014
524,1585
525,1254
533,826
530,244
535,1166
528,949
532,788
537,908
552,486
541,717
538,1118
564,655
546,941
572,796
547,651
545,681
561,730
613,97
582,968
539,563
536,894
558,1077
543,1587
554,1109
555,1119
570,923
562,379
553,798
549,513
567,962
589,650
622,21
581,764
550,1050
544,1106
556,704
578,550
571,508
557,683
559,798
591,630
573,1569
595,349
569,1173
587,354
588,129
565,346
560,664
574,484
548,870
577,1300
601,974
600,535
604,585
575,1136
585,294
566,848
599,129
611,933
592,159
580,1060
609,323
563,667
598,725
586,1146
614,1132
596,1382
594,1621
597,755
590,566
634,504
542,757
576,713
551,1135
605,519
568,597
584,990
602,642
540,723
620,540
579,1131
606,902
619,1155
621,799
593,1353
608,174
616,491
583,1368
626,891
610,1118
624,74
617,1606
629,412
615,1513
625,1313
618,730
633,547
632,514
603,1014
612,261
628,1046
607,490
627,1382
630,993
631,1172
623,1129
635,535
636,411
637,631
640,1111
638,209
639,1135
647,270
642,875
641,768
643,1145
644,807
649,481
645,592
646,486
648,874
660,448
652,577
651,542
655,641
654,751
650,755
657,290
659,703
656,1006
653,829
662,1106
673,482
661,1151
672,860
664,1104
658,688
678,562
677,534
669,742
674,344
704,326
667,752
670,565
700,180
676,471
663,356
675,650
705,1019
666,994
713,934
691,1231
686,1029
694,786
668,894
695,546
711,698
687,867
690,701
718,743
712,950
683,858
680,658
709,177
698,969
719,114
688,786
696,610
665,731
699,234
679,628
720,884
671,708
739,1014
693,664
741,432
