Bi-Mutual,Cascade,Clique,FBL,FFL,Fan-In,Fan-Out,Mutual-Cascade,Mutual-In,Mutual-Out,Regulated-Mutual,Regulating-Mutual,Semi-Clique,graph_id
3,24281,0,1,6400,3682,8183993,9,9,14771,3,1463,7,115
5,41305,0,3,6788,3892,8180138,14,19,17874,6,1638,9,46
4,38724,0,8,6376,4008,8182422,12,15,14887,6,2199,7,49
5,25664,2,0,4164,3229,8179429,10,5,17336,1,3576,8,31
5,21141,3,5,3670,4252,8178913,3,15,18377,0,3560,11,48
3,22864,0,3,5702,4314,8183538,8,10,16461,5,1195,6,47
10,24430,3,2,4085,4773,8173017,9,21,25638,1,2666,9,23
12,21941,4,3,4169,3778,8164610,16,25,30747,5,4251,23,101
8,36725,0,8,6676,4422,8174567,21,19,21973,4,2410,25,94
11,32800,2,6,4483,4679,8180824,11,24,17201,1,2782,9,52
2,19982,2,1,4021,3707,8183412,4,0,14108,0,3277,6,2
2,27931,0,3,6403,3341,8186815,10,13,11699,6,1587,5,53
5,30629,6,7,4974,3159,8172124,15,7,23215,0,3868,16,43
8,32475,2,7,5831,4437,8173698,28,36,23289,11,2609,15,8
4,32545,1,5,5269,4349,8180676,9,16,17786,4,2180,4,89
5,35039,0,9,5656,4332,8175304,21,27,21689,10,2704,13,17
4,33560,0,11,6656,3839,8182180,17,23,15836,12,1704,3,69
0,26539,0,2,6891,2182,8189994,2,3,7807,3,1707,4,45
2,38195,0,4,8022,3249,8182474,9,17,14500,8,1545,7,124
12,34833,0,8,6652,3506,8173544,17,15,22809,5,2522,18,19
4,28604,0,1,5800,4163,8181731,5,17,15790,9,2380,10,18
1,29786,2,4,5298,2692,8176090,8,1,18819,5,3930,16,58
8,38768,0,8,5944,5274,8176641,10,30,21614,14,1928,16,92
13,28602,1,5,5759,4588,8171842,14,24,26264,12,2093,13,27
0,31491,2,3,5700,3083,8182510,8,12,13652,5,3112,7,11
2,23979,1,3,4780,4665,8181495,6,17,17547,2,2136,6,74
3,27537,1,4,6582,3132,8180271,14,12,16501,3,2363,8,65
2,27284,2,5,5684,4003,8184374,6,6,13173,2,2431,5,86
5,24547,3,6,4015,5039,8174731,10,22,22926,1,3203,8,20
3,30533,1,5,4910,4228,8183119,11,14,15071,2,2494,6,56
6,26283,0,5,5934,3925,8180279,11,6,17922,3,1968,14,75
6,24041,1,3,5190,4831,8178075,14,21,22086,9,1360,8,76
2,22924,1,4,5705,3263,8181085,16,6,16862,8,2214,5,87
1,33162,0,11,6062,4264,8192628,6,12,8491,5,461,2,37
7,18381,1,2,4550,3833,8174918,7,15,22263,3,3174,10,70
13,23484,2,3,5469,3201,8172588,13,10,24418,8,2794,8,60
1,25042,0,0,5132,4195,8188383,4,3,11030,1,1777,7,1
4,37480,0,8,5918,4704,8179820,9,25,19091,11,1628,5,105
1,29782,0,6,5942,2947,8179420,9,13,16916,9,2902,9,40
3,34591,0,7,6077,4445,8186165,9,23,12563,4,1646,3,12
4,31933,1,5,5835,3034,8178611,12,13,18611,3,2507,13,73
0,21744,0,1,5915,3361,8194438,1,1,4820,1,1470,2,51
2,22077,0,3,5964,3103,8183687,5,2,13921,4,2261,7,71
3,26652,0,5,5811,3666,8182203,10,13,16302,4,1886,7,126
3,25153,1,0,5765,3151,8177463,6,7,18816,9,3019,8,7
1,29645,1,3,5460,3613,8184671,5,10,13509,4,2227,6,66
4,29190,1,6,4987,4418,8185523,9,14,13793,2,1897,2,114
3,30733,2,3,5663,3414,8177462,15,10,18609,5,3168,10,122
1,42397,0,6,7336,2921,8185366,11,11,11752,7,1817,6,68
15,34837,0,7,5685,4826,8178347,17,25,20341,8,1841,12,4
11,22054,1,2,4543,3971,8175801,12,16,22045,2,2844,7,39
11,32101,1,4,4832,5412,8173933,17,25,24931,6,2182,11,120
5,18550,0,0,4519,4019,8176827,14,5,20942,2,2884,21,121
2,15720,0,0,4295,4637,8183832,4,20,16739,5,1614,7,34
6,33446,1,7,6789,3414,8180618,12,21,16834,9,1916,8,79
6,25363,0,5,5589,2494,8177273,13,15,19377,1,2920,10,32
5,31362,1,7,5867,3713,8184529,10,13,13967,2,1866,2,107
8,17304,1,0,3772,3888,8179118,8,11,19029,5,3082,6,109
6,37297,1,4,5981,3820,8176704,16,13,20803,8,2281,18,0
0,26618,0,1,5553,4702,8194342,2,9,6924,2,648,0,108
2,33968,1,9,5368,4416,8183460,13,25,14897,4,2181,5,97
10,31840,2,1,5219,4073,8180172,7,15,18106,1,2292,7,55
2,33610,1,6,6531,3934,8187907,10,10,9880,4,1890,1,95
3,26667,0,6,5727,3592,8181462,10,10,16564,3,2168,7,42
6,25687,3,5,5383,3451,8173896,16,10,22267,4,3257,12,30
3,26250,0,4,6416,3294,8187685,10,11,11603,4,1195,4,21
14,40769,0,3,6797,5304,8180466,17,30,18638,5,1083,8,13
3,32600,1,10,6443,3500,8184393,8,14,12853,8,2197,7,29
5,32207,0,7,5032,4552,8182996,12,12,15548,2,2256,6,61
4,22757,1,0,4038,4804,8183371,4,10,15270,1,2705,9,3
7,34616,6,4,5745,4504,8175177,15,34,22643,12,2241,10,106
10,33166,2,3,4905,5547,8172981,16,38,25315,6,2427,13,103
1,21339,1,2,5244,3197,8181245,5,13,16516,7,2542,7,84
8,37459,0,6,6403,4615,8176511,13,28,21231,11,1957,14,6
2,24715,1,0,4781,3416,8181838,5,6,15051,3,3212,6,118
2,24458,1,4,5396,3262,8179365,6,10,17034,5,3144,10,63
2,27684,1,3,6046,3092,8184004,8,19,14425,5,1807,6,44
7,26620,0,5,5688,3156,8174768,14,16,22366,8,2625,9,26
5,34136,0,6,6456,3713,8185227,13,16,13969,7,1216,5,59
9,27862,5,3,5753,3348,8170737,8,23,24223,2,3667,19,62
4,19313,1,0,4654,3243,8176012,9,8,22138,3,2636,12,125
8,23091,1,1,4449,3649,8173033,10,24,23642,4,3471,14,35
10,31702,1,3,6329,3702,8181375,17,22,17387,6,1492,4,99
6,31260,2,6,5593,3942,8173490,14,13,23086,4,2948,12,14
5,31225,2,5,5370,3940,8183144,13,11,15335,0,2119,4,33
8,19840,1,3,4051,3841,8178947,2,16,18661,7,3213,7,80
6,23844,2,2,4524,3593,8174944,6,16,21880,5,3365,9,82
7,28621,1,2,4467,4345,8177677,11,19,20796,2,2569,9,104
9,19762,1,2,3390,4058,8176850,5,15,21596,2,3123,9,123
12,38313,0,7,5411,4503,8178063,19,26,19649,5,2467,13,98
1,19609,0,3,5748,3565,8191138,3,2,7946,1,1639,2,67
2,26814,0,0,6897,3145,8188651,13,3,10339,3,1106,1,77
0,29475,0,6,6596,4052,8195806,3,12,4609,1,552,0,81
3,34811,1,7,6991,3424,8178031,15,28,17847,11,2596,13,15
2,26915,0,2,5079,3487,8184600,5,8,13525,6,2444,7,5
0,27467,0,0,5783,2996,8183674,6,9,13143,3,2748,7,28
5,25922,1,0,6374,3315,8179238,10,6,18817,4,1823,11,102
0,32297,0,9,5313,4857,8191708,6,14,8756,4,1164,2,9
3,18979,3,0,3765,3024,8179828,9,0,16187,0,4152,7,78
12,18301,2,4,3787,4416,8173023,8,7,23684,5,3788,9,91
5,19823,1,1,4966,3313,8179473,5,15,18255,2,2697,8,116
8,40458,0,13,5611,4700,8179463,18,30,18469,2,2262,12,64
3,28333,2,5,4967,3280,8182161,11,9,15862,1,2549,5,25
3,24726,0,3,5812,4735,8190844,13,20,10375,4,533,1,88
7,24146,2,1,3500,4861,8175793,4,12,21978,5,3402,11,72
2,21838,1,0,5293,3890,8189108,3,6,9915,3,1891,5,111
