assortiativity_out_in,assortiativity_out_out,assortiativity_in_in,assortiativity_in_out,avg_clustering_dir,avg_clustering_undir,avg_degree,avg_path_dir,avg_path_undir,density,diameter,diameter_undir,nb_edges,nb_nodes,graph_id
-0.0587,-0.0158,-0.0007,-0.0027,0.1983,0.3394,3.9761,3.0767,2.885,0.0003044,8,5,12986,6532,115
-0.1845,-0.0356,-0.2769,-0.0343,0.2088,0.3584,3.9761,2.7925,2.7523,0.0003044,6,5,12986,6532,46
-0.1903,-0.0314,-0.1746,-0.0234,0.2039,0.3214,3.9761,2.8207,2.8322,0.0003044,6,5,12986,6532,49
-0.0755,-0.0011,-0.0207,-0.0019,0.2746,0.3758,3.9761,2.4724,2.7803,0.0003044,5,6,12986,6532,31
-0.0505,-0.0121,0.1548,0.0172,0.2215,0.3058,3.9761,2.8415,2.9094,0.0003044,5,5,12986,6532,48
-0.1205,-0.0117,-0.056,0.0014,0.1989,0.3384,3.9761,2.817,2.8241,0.0003044,6,5,12986,6532,47
-0.1839,-0.0214,-0.0264,-0.0074,0.2161,0.3029,3.9761,2.7204,2.8354,0.0003044,6,5,12986,6532,23
-0.0877,-0.0209,0.0851,0.0162,0.2566,0.3358,3.9761,2.6356,2.8629,0.0003044,6,5,12986,6532,101
-0.2782,-0.0403,-0.0717,0.0041,0.1856,0.3131,3.9761,2.5884,2.8037,0.0003044,6,5,12986,6532,94
-0.2268,-0.0292,0.0208,0.0012,0.2022,0.3017,3.9761,2.5826,2.8098,0.0003044,5,5,12986,6532,52
-0.011,0.0088,0.0187,0.0124,0.2542,0.3535,3.9761,3.0794,2.8536,0.0003044,8,5,12986,6532,2
-0.0865,-0.011,-0.0699,-0.0087,0.2136,0.3557,3.9761,3.1624,2.8341,0.0003044,8,5,12986,6532,53
-0.1441,-0.018,-0.0249,-0.0072,0.2596,0.3609,3.9761,2.6644,2.7995,0.0003044,5,5,12986,6532,43
-0.277,-0.0318,0.0339,0.0084,0.2077,0.3199,3.9761,2.6507,2.7912,0.0003044,5,5,12986,6532,8
-0.2067,-0.0204,-0.1457,-0.0295,0.2102,0.3299,3.9761,2.5952,2.7651,0.0003044,7,5,12986,6532,89
-0.2294,-0.0294,-0.0609,-0.0086,0.2166,0.3189,3.9761,2.6459,2.8032,0.0003044,5,5,12986,6532,17
-0.2205,-0.0231,0.0081,-0.006,0.2193,0.3534,3.9761,3.1099,2.7888,0.0003044,7,5,12986,6532,69
0.168,0.0091,-0.0948,-0.0184,0.25,0.42,3.9761,2.2956,2.857,0.0003044,7,5,12986,6532,45
-0.2887,-0.0228,-0.2018,-0.0306,0.2122,0.3763,3.9761,2.8092,2.7248,0.0003044,7,5,12986,6532,124
-0.1556,-0.0318,-0.1161,-0.0159,0.2004,0.3474,3.9761,2.486,2.8051,0.0003044,5,5,12986,6532,19
