graph_id,failure_count
44,194
79,107
28,119
10,86
6,206
17,206
8,239
76,115
72,163
27,75
31,249
73,155
4,146
25,147
11,189
75,199
9,177
26,216
1,91
21,223
2,75
69,123
7,188
30,91
71,81
19,130
20,89
13,185
29,57
18,114
15,111
5,203
70,97
80,102
42,184
24,256
14,208
78,108
3,129
77,72
53,168
90,147
66,169
48,212
89,180
65,232
67,142
41,182
74,77
22,185
32,111
51,151
49,232
23,187
83,91
52,218
101,89
58,149
38,91
68,214
81,68
0,155
85,163
46,227
100,77
40,209
62,192
57,118
36,79
39,149
97,119
91,76
34,86
16,349
56,159
12,304
35,120
47,107
33,68
95,205
86,185
64,101
59,130
82,165
61,216
43,164
98,104
55,145
87,240
88,113
92,211
84,123
45,71
50,147
94,203
99,66
37,129
105,100
124,182
112,127
96,175
54,107
115,77
107,112
63,122
103,177
122,121
102,165
123,69
93,250
60,224
120,198
125,279
108,309
104,247
109,49
106,92
119,209
126,128
111,164
117,144
116,132
113,67
118,238
121,117
114,161
110,335
127,104
240,216
184,126
140,118
164,89
138,154
134,114
142,59
130,210
162,120
151,120
129,266
135,352
159,298
161,111
163,73
172,105
169,142
132,114
171,130
131,214
237,150
143,95
146,64
181,112
166,219
128,123
182,212
148,152
150,305
160,66
139,186
178,264
133,315
141,164
136,215
145,87
149,216
156,59
154,240
155,96
165,116
144,145
195,183
199,167
175,118
137,196
153,97
152,90
186,196
214,124
191,88
147,239
168,159
157,138
193,95
158,103
173,88
179,83
183,85
192,88
177,121
174,65
187,153
211,126
189,78
209,74
167,157
197,139
213,155
176,215
180,258
200,112
198,256
218,95
190,213
203,188
217,66
204,262
216,96
210,136
222,71
215,186
212,200
224,71
185,205
188,98
196,145
206,87
225,113
208,61
243,145
227,167
223,172
238,131
236,65
219,231
233,157
205,128
230,115
228,115
234,101
245,122
220,171
194,249
244,92
229,193
235,231
207,171
247,215
242,166
170,154
253,101
226,303
241,200
221,94
201,200
231,176
250,217
252,120
249,208
232,118
202,184
248,180
246,156
251,216
239,226
254,93
353,124
255,145
256,117
260,98
259,149
258,182
262,159
266,67
271,58
257,235
263,239
261,92
268,271
273,58
264,208
270,151
267,63
275,103
286,82
265,206
281,102
280,178
291,105
283,82
274,91
276,229
278,157
293,58
317,84
284,87
316,54
285,170
269,118
307,83
279,246
277,252
287,123
306,103
324,122
299,177
282,219
272,227
333,88
310,66
290,129
318,121
309,198
292,144
288,171
302,60
296,149
289,250
323,190
297,181
303,157
298,130
319,117
294,126
295,97
308,84
300,182
313,73
301,85
336,180
328,237
320,65
312,105
322,77
345,95
315,148
334,77
314,304
305,168
311,85
321,91
335,247
346,125
343,149
350,100
338,294
304,113
329,184
342,197
347,120
348,250
330,217
340,137
332,167
344,88
326,212
325,161
363,134
373,104
351,182
357,81
364,112
358,234
354,351
366,96
341,148
360,102
359,283
331,185
352,190
356,134
337,201
362,106
355,114
365,199
369,110
367,72
377,164
349,310
372,107
379,131
368,212
327,133
374,162
370,129
375,215
376,257
361,193
380,95
378,328
339,213
371,180
381,143
382,132
409,219
384,151
482,152
383,217
385,140
387,105
388,206
390,100
386,220
389,135
394,93
391,89
393,88
400,51
395,92
392,210
397,135
402,152
404,84
405,51
414,171
403,185
396,182
401,88
398,149
407,73
406,105
412,144
416,70
411,181
399,244
425,83
427,105
417,179
422,122
408,306
420,136
447,82
430,108
415,211
413,177
436,201
434,226
423,153
424,125
446,167
433,145
429,138
431,201
428,72
437,72
452,144
426,138
440,99
418,226
