Bi-Mutual,Cascade,Clique,FBL,FFL,Fan-In,Fan-Out,Mutual-Cascade,Mutual-In,Mutual-Out,Regulated-Mutual,Regulating-Mutual,Semi-Clique,graph_id
9,26763,0,24,1007,12502,108405,13,257,1842,8,89,2,44
9,27883,0,38,966,14554,108543,24,325,1781,10,58,1,79
17,26407,0,23,922,14104,107337,10,370,2879,15,135,8,28
21,26822,1,31,1179,14710,106917,23,360,2892,6,190,5,10
11,26649,0,48,1201,12029,108009,19,296,2076,18,65,1,6
6,26159,0,26,1285,12083,108292,17,269,1761,9,84,1,17
5,24480,1,24,1196,11552,108217,12,196,1587,11,196,6,8
18,26501,0,29,1318,13798,107679,18,350,2115,25,167,8,76
18,24894,2,23,1113,12691,106662,31,356,3207,19,202,9,72
6,28386,1,51,1541,14889,108149,24,317,1407,22,162,3,27
8,25069,0,24,953,11700,108851,18,227,1522,6,41,2,31
3,26158,1,39,1432,12666,107832,17,279,1672,29,207,13,73
9,27802,0,23,796,13674,108460,10,355,2254,10,39,1,4
16,26426,1,25,1219,13164,107137,22,355,2591,26,220,5,25
6,27620,0,33,1114,12439,108273,18,315,1810,23,97,6,11
24,25952,1,24,1053,12254,107336,16,347,2840,18,134,7,75
12,26781,0,30,1196,12852,108472,13,148,1613,2,62,0,9
12,23515,4,45,1503,11087,106212,23,332,2549,22,536,14,26
3,28754,0,42,1074,15024,108870,9,241,1315,11,87,1,1
10,25635,0,35,945,12101,108682,15,279,1655,12,58,0,21
7,28501,0,48,1078,15324,108347,15,381,1892,9,75,0,2
10,26678,0,43,1506,13498,107641,28,315,2044,15,115,6,69
42,24373,1,33,1210,12046,106190,38,413,3627,18,266,18,7
9,28015,1,23,826,15194,108228,11,297,2217,6,69,2,30
8,28716,0,40,929,15365,108800,14,282,1612,7,33,1,71
11,28062,0,41,862,14153,108552,11,226,1882,7,61,2,19
8,28905,1,43,883,15182,108783,15,335,1642,9,45,1,20
5,26567,0,40,1447,12152,107609,25,346,1975,30,164,14,13
19,26453,0,24,1316,15435,106818,24,431,2763,22,242,12,29
15,27447,0,28,1611,13621,108385,17,312,1504,16,64,2,18
14,27667,0,27,947,14435,108228,12,343,2121,4,54,2,15
11,26406,2,36,1272,11882,107885,17,346,1828,29,182,11,5
19,27418,0,48,1029,14548,108075,11,447,2112,17,96,5,70
18,26337,3,31,1133,14069,106624,32,460,2837,11,382,19,80
17,25489,0,37,1357,12134,107300,26,382,2424,26,131,7,42
26,22734,5,18,1069,10726,106020,41,411,3388,23,404,28,24
7,25169,1,30,1125,12134,108430,15,279,1547,23,145,5,14
26,27423,1,37,1215,14074,107790,16,283,1983,21,186,10,78
6,27697,0,34,1298,13664,108315,20,208,1796,8,39,0,3
50,26191,0,34,1564,14622,106178,25,505,3260,31,153,13,77
15,26868,2,39,1322,12424,107476,22,344,2155,25,210,10,53
23,25543,3,31,1015,13255,106855,19,417,3061,16,212,12,90
17,25820,1,36,1234,12538,107596,25,413,2316,24,140,9,66
4,27173,0,28,849,12553,109174,8,233,1341,2,40,0,48
