assortiativity_out_in,assortiativity_out_out,assortiativity_in_in,assortiativity_in_out,avg_clustering_dir,avg_clustering_undir,avg_degree,avg_path_dir,avg_path_undir,density,diameter,diameter_undir,nb_edges,nb_nodes,graph_id
-0.0897,-0.0352,-0.0987,-0.0499,0.023,0.043,4.8221,4.4586,3.9248,0.0011989,12,11,4851,2012,44
-0.187,-0.058,-0.1149,-0.031,0.0215,0.0396,4.8201,4.3733,3.9159,0.0011984,12,10,4849,2012,79
-0.1597,-0.0644,-0.1433,-0.0563,0.0185,0.0336,4.8151,4.5681,3.9153,0.0011972,11,11,4844,2012,28
-0.1167,-0.0509,-0.1011,-0.0431,0.0245,0.0458,4.8151,4.4663,3.9504,0.0011972,11,11,4844,2012,10
-0.0929,-0.0422,-0.0745,-0.0322,0.0275,0.0536,4.8131,4.4209,3.9227,0.0011967,12,12,4842,2012,6
-0.0554,-0.0278,-0.0606,-0.0389,0.0238,0.0447,4.8211,4.586,3.9035,0.0011987,13,9,4850,2012,17
-0.0143,-0.009,-0.0327,-0.0261,0.0251,0.0477,4.8161,4.7752,3.9551,0.0011974,13,11,4845,2012,8
-0.106,-0.0375,-0.0548,-0.0095,0.0239,0.0449,4.8181,4.5202,3.903,0.0011979,11,10,4847,2012,76
-0.1136,-0.0332,-0.0155,-0.0092,0.0259,0.0436,4.8161,4.4818,3.9412,0.0011974,12,10,4845,2012,72
-0.1384,-0.0382,-0.0304,-0.008,0.0274,0.0517,4.829,4.5066,3.9946,0.0012007,12,12,4858,2012,27
-0.1102,-0.0362,-0.1195,-0.0376,0.0247,0.0475,4.8121,4.7294,3.8532,0.0011965,13,10,4841,2012,31
-0.074,-0.0227,-0.0195,-0.0131,0.0279,0.0527,4.8111,4.5972,3.8858,0.0011962,13,12,4840,2012,73
-0.1963,-0.0717,-0.1688,-0.0562,0.0217,0.041,4.8181,4.4906,3.8871,0.0011979,12,11,4847,2012,4
-0.0532,-0.0199,-0.0914,-0.0318,0.0286,0.0524,4.8171,4.446,3.9503,0.0011977,12,10,4846,2012,25
-0.1567,-0.0505,-0.0557,-0.0215,0.0232,0.0449,4.8161,4.3392,3.8609,0.0011974,11,12,4845,2012,11
-0.0715,-0.0215,-0.1005,-0.0306,0.0302,0.0548,4.8211,4.5124,3.9131,0.0011987,13,11,4850,2012,75
-0.143,-0.0481,-0.0692,-0.0486,0.0229,0.0443,4.8091,4.656,3.9138,0.0011957,14,12,4838,2012,9
0.0866,0.0232,0.0332,0.011,0.0293,0.0491,4.8191,4.6321,4.0436,0.0011982,13,11,4848,2012,26
-0.1718,-0.0585,-0.1289,-0.0452,0.0177,0.0343,4.8101,4.4439,3.9047,0.001196,11,11,4839,2012,1
-0.1624,-0.06,-0.0795,-0.0322,0.0204,0.0396,4.8171,4.5392,3.8761,0.0011977,12,10,4846,2012,21
-0.1855,-0.0532,-0.104,-0.0249,0.025,0.0458,4.8141,4.3295,3.9432,0.0011969,14,12,4843,2012,2
-0.049,-0.0214,-0.0869,-0.0253,0.0256,0.0483,4.8241,4.4247,4.0215,0.0011994,14,12,4853,2012,69
-0.0276,-0.0233,-0.0405,-0.007,0.0249,0.0442,4.8241,4.5951,3.9861,0.0011994,14,11,4853,2012,7
-0.1956,-0.0716,-0.1692,-0.0593,0.0192,0.0361,4.8161,4.5879,3.9456,0.0011974,13,12,4845,2012,30
-0.2073,-0.0696,-0.1051,-0.0285,0.0238,0.047,4.8111,4.2685,3.8289,0.0011962,11,12,4840,2012,71
-0.1706,-0.0616,-0.1608,-0.0556,0.0233,0.0445,4.8141,4.3972,3.835,0.0011969,11,10,4843,2012,19
-0.1919,-0.0732,-0.1432,-0.0475,0.0178,0.0349,4.8141,4.3111,3.8688,0.0011969,11,10,4843,2012,20
-0.1152,-0.0389,0.0541,0.0011,0.0285,0.055,4.8191,4.5073,3.9064,0.0011982,13,11,4848,2012,13
-0.1145,-0.0237,-0.1028,-0.0222,0.0269,0.0482,4.8151,4.4854,3.9363,0.0011972,12,11,4844,2012,29
-0.0572,-0.0277,-0.0741,-0.0474,0.0229,0.0455,4.8171,4.6001,3.9676,0.0011977,12,11,4846,2012,18
-0.1565,-0.0568,-0.1548,-0.0606,0.0204,0.0401,4.8191,4.6865,3.9288,0.0011982,14,12,4848,2012,15
-0.0405,-0.0275,-0.0046,-0.0092,0.0217,0.0409,4.8111,4.5278,3.9252,0.0011962,13,11,4840,2012,5
-0.1486,-0.0494,-0.1342,-0.0287,0.0209,0.0407,4.8151,4.3513,3.8704,0.0011972,12,11,4844,2012,70
-0.1046,-0.0344,-0.064,-0.027,0.0256,0.044,4.8161,4.6231,3.979,0.0011974,14,12,4845,2012,80
-0.0704,-0.0283,-0.0044,-0.0075,0.0256,0.0491,4.8201,4.5212,3.9032,0.0011984,12,10,4849,2012,42
-0.0472,-0.0185,0.0902,0.0274,0.0261,0.0461,4.8181,4.6263,3.9547,0.0011979,12,12,4847,2012,24
-0.0793,-0.0522,-0.0003,-0.0249,0.0192,0.037,4.8141,4.7131,3.9781,0.0011969,13,11,4843,2012,14
-0.1575,-0.0618,-0.054,-0.0253,0.0242,0.0466,4.8111,4.4491,3.8532,0.0011962,12,9,4840,2012,78
-0.0812,-0.0266,-0.1533,-0.0478,0.0251,0.0487,4.8141,4.4123,3.8732,0.0011969,11,10,4843,2012,3
-0.0968,-0.026,-0.0777,-0.0244,0.0259,0.0495,4.8141,4.682,3.9683,0.0011969,13,11,4843,2012,77
-0.0963,-0.028,-0.0372,-0.0055,0.0218,0.0412,4.8241,4.5689,3.9082,0.0011994,15,11,4853,2012,53
-0.1429,-0.0537,-0.0111,-0.0119,0.021,0.0385,4.8161,4.4662,3.892,0.0011974,11,10,4845,2012,90
-0.0859,-0.0425,-0.0037,-0.0123,0.026,0.0479,4.8151,4.4515,3.937,0.0011972,11,12,4844,2012,66
-0.1113,-0.0522,-0.1567,-0.06,0.0216,0.0418,4.8101,4.5754,3.8705,0.001196,12,12,4839,2012,48
-0.1394,-0.0349,-0.0659,-0.0102,0.0186,0.0349,4.8171,4.3575,3.9002,0.0011977,11,13,4846,2012,89
-0.1093,-0.0261,-0.0759,-0.0075,0.0248,0.0462,4.8151,4.5963,3.8738,0.0011972,14,10,4844,2012,65
-0.1101,-0.0311,-0.1008,-0.0294,0.0251,0.0444,4.8161,4.5607,3.9136,0.0011974,13,12,4845,2012,67
-0.119,-0.0283,-0.0849,-0.0309,0.0243,0.044,4.8201,4.645,3.9048,0.0011984,13,11,4849,2012,41
-0.1161,-0.0295,-0.1361,-0.0421,0.0229,0.043,4.8111,4.5806,3.8563,0.0011962,15,12,4840,2012,74
-0.0189,-0.021,-0.0878,-0.042,0.0259,0.0497,4.8111,4.577,3.9534,0.0011962,14,10,4840,2012,22
-0.1515,-0.0586,-0.0874,-0.0246,0.0229,0.0448,4.8171,4.4026,3.8772,0.0011977,12,12,4846,2012,32
-0.1069,-0.0239,-0.0584,-0.0056,0.0296,0.0523,4.8151,4.8283,3.9162,0.0011972,16,12,4844,2012,51
-0.0701,-0.03,-0.1261,-0.0544,0.0219,0.042,4.8241,4.7227,3.9495,0.0011994,15,11,4853,2012,49
-0.2037,-0.0827,-0.1323,-0.0549,0.0184,0.0356,4.8141,4.433,3.8826,0.0011969,10,11,4843,2012,23
-0.1206,-0.0438,0.0129,-0.0038,0.0229,0.0437,4.8101,4.4096,3.956,0.001196,12,10,4839,2012,83
-0.0987,-0.0385,-0.0895,-0.0308,0.0222,0.0403,4.8201,4.3784,3.8801,0.0011984,12,11,4849,2012,52
-0.1994,-0.0608,-0.1241,-0.0356,0.0182,0.0334,4.8101,4.3606,3.9132,0.001196,12,11,4839,2012,101
-0.1495,-0.0578,-0.1266,-0.0592,0.0202,0.0376,4.8231,4.613,3.9377,0.0011992,12,11,4852,2012,58
-0.1008,-0.0391,-0.1041,-0.0354,0.0249,0.0468,4.8191,4.5718,3.9231,0.0011982,12,12,4848,2012,38
0.0044,-0.0142,-0.0866,-0.048,0.025,0.049,4.8161,4.713,3.9441,0.0011974,13,11,4845,2012,68
-0.143,-0.0379,-0.0708,-0.0119,0.0257,0.0447,4.8181,4.4989,3.8855,0.0011979,12,11,4847,2012,81
-0.0927,-0.0292,-0.0851,-0.0266,0.0258,0.0471,4.8101,4.4398,3.8879,0.001196,11,11,4839,2012,0
-0.0933,-0.0418,-0.1005,-0.0304,0.024,0.0474,4.8072,4.5101,3.9121,0.0011952,12,11,4836,2012,85
0.0019,-0.0138,-0.0599,-0.0318,0.0243,0.0479,4.8181,4.7353,3.976,0.0011979,12,11,4847,2012,46
-0.14,-0.0577,-0.0644,-0.0391,0.0216,0.0421,4.8211,4.4858,3.9365,0.0011987,14,10,4850,2012,100
-0.1626,-0.0462,-0.1525,-0.0337,0.0277,0.0544,4.8131,4.3986,3.8263,0.0011967,12,10,4842,2012,40
-0.0526,-0.0295,-0.0002,-0.0001,0.0256,0.0461,4.8101,4.4823,3.9092,0.001196,12,10,4839,2012,62
-0.1758,-0.0569,-0.1098,-0.0342,0.0205,0.0404,4.8181,4.3416,3.8737,0.0011979,10,10,4847,2012,57
-0.2139,-0.0624,-0.2122,-0.0605,0.0207,0.0386,4.8131,4.3763,3.8165,0.0011967,13,11,4842,2012,36
-0.1402,-0.0499,-0.1362,-0.0376,0.0227,0.0445,4.8121,4.2556,3.8657,0.0011965,10,10,4841,2012,39
-0.1246,-0.0451,-0.1225,-0.039,0.0228,0.041,4.8191,4.4502,3.9268,0.0011982,14,11,4848,2012,97
-0.1829,-0.063,-0.1371,-0.0338,0.0221,0.0412,4.8161,4.2844,3.9326,0.0011974,11,10,4845,2012,91
-0.1165,-0.0502,-0.0416,-0.0311,0.0262,0.0504,4.8231,4.3946,3.988,0.0011992,12,11,4852,2012,34
-0.0008,-0.0056,0.0087,-0.0074,0.0258,0.0462,4.8201,4.8297,3.9405,0.0011984,15,10,4849,2012,16
-0.1012,-0.0485,-0.0553,-0.0349,0.0229,0.0428,4.8131,4.4571,3.9233,0.0011967,12,12,4842,2012,56
0.0019,-0.0134,-0.0148,-0.0279,0.0267,0.0524,4.8101,4.6639,3.938,0.001196,15,11,4839,2012,12
-0.1258,-0.0509,-0.0585,-0.037,0.0211,0.0407,4.8221,4.3747,3.9087,0.0011989,11,10,4851,2012,35
-0.1678,-0.0709,-0.0204,-0.0257,0.0182,0.0338,4.8141,4.5024,3.933,0.0011969,11,12,4843,2012,47
-0.1339,-0.0486,-0.002,-0.0106,0.0205,0.0388,4.8221,4.3822,4.0033,0.0011989,13,10,4851,2012,33
-0.115,-0.043,-0.106,-0.0421,0.0204,0.0394,4.8161,4.4822,3.8556,0.0011974,13,10,4845,2012,95
-0.1441,-0.0522,-0.0869,-0.0318,0.0201,0.0393,4.8101,4.4601,3.8997,0.001196,13,13,4839,2012,86
-0.0592,-0.0135,-0.0462,-0.0058,0.0295,0.0541,4.8121,4.528,3.9597,0.0011965,11,10,4841,2012,64
-0.1809,-0.0561,-0.0688,-0.0258,0.0212,0.0396,4.8211,4.4007,3.8815,0.0011987,13,10,4850,2012,59
-0.0739,-0.0311,0.005,-0.0024,0.0234,0.0417,4.8171,4.5876,3.9785,0.0011977,13,13,4846,2012,82
-0.0338,-0.02,0.0366,-0.0036,0.0286,0.0546,4.8231,4.6567,4.0249,0.0011992,12,14,4852,2012,61
0.0003,0.0036,-0.0609,-0.0146,0.0258,0.0462,4.8151,4.8976,3.956,0.0011972,12,10,4844,2012,43
-0.0453,-0.0147,-0.0973,-0.0372,0.025,0.0471,4.8191,4.45,4.0064,0.0011982,13,11,4848,2012,98
-0.0544,-0.0288,-0.0448,-0.0193,0.0263,0.0496,4.8221,4.5255,3.9909,0.0011989,12,12,4851,2012,55
-0.0499,-0.0286,-0.0219,-0.0112,0.02,0.0389,4.8181,4.5075,3.8986,0.0011979,12,11,4847,2012,87
-0.1075,-0.0327,-0.0167,-0.015,0.028,0.0513,4.8141,4.5686,3.9106,0.0011969,12,11,4843,2012,88
-0.1478,-0.0398,-0.1129,-0.0441,0.0216,0.0428,4.8101,4.5612,3.8974,0.001196,12,11,4839,2012,92
-0.1077,-0.039,-0.0235,-0.0121,0.0239,0.0439,4.8221,4.4323,3.9711,0.0011989,12,12,4851,2012,84
-0.1424,-0.0502,-0.0867,-0.0296,0.0275,0.0526,4.8161,4.3843,3.9485,0.0011974,13,11,4845,2012,45
-0.0661,-0.0307,-0.0101,-0.0292,0.0248,0.0468,4.8161,4.6067,3.9196,0.0011974,12,10,4845,2012,50
-0.0709,-0.0244,-0.0523,-0.0133,0.0288,0.0532,4.8201,4.3861,3.906,0.0011984,13,10,4849,2012,94
-0.1128,-0.0464,-0.0777,-0.0304,0.0243,0.0474,4.8231,4.4499,3.9867,0.0011992,11,12,4852,2012,99
0.0092,0.0076,0.0119,0.0126,0.0285,0.0513,4.8141,4.5473,3.9819,0.0011969,12,13,4843,2012,37
-0.1623,-0.0569,-0.0774,-0.0234,0.022,0.0413,4.8171,4.4063,3.8766,0.0011977,11,12,4846,2012,105
-0.1607,-0.0556,-0.1174,-0.0493,0.0251,0.0491,4.8111,4.5231,3.8366,0.0011962,12,10,4840,2012,124
