graph_id,failure_count
102,5196
60,8737
112,10485
46,4831
101,7949
58,6578
79,5908
6,7524
25,6877
36,10919
55,7870
14,5936
27,9365
75,5437
9,6890
1,10195
19,9277
68,7721
109,9996
54,7213
34,13089
99,9324
29,8784
0,5313
89,7395
33,6511
42,8455
37,6387
108,5895
78,9641
15,9370
94,5136
77,7699
65,6836
98,7563
21,6449
62,11467
38,8799
51,7009
81,9016
73,9076
61,10419
111,8462
63,8605
52,7808
50,11043
2,8559
59,6075
39,7904
72,11548
120,5939
74,7751
86,7490
126,9533
122,9008
91,8014
18,10070
70,6846
22,5715
24,12032
85,10375
88,8104
114,7263
56,9269
64,7766
125,10715
115,10583
28,11999
100,7052
57,9884
48,8023
26,11291
97,8359
49,10010
16,8347
5,8345
11,10787
87,8076
69,7916
71,10378
117,7961
12,12767
10,8405
41,10495
43,8405
105,10135
8,11226
103,8359
93,10070
4,9828
76,9066
66,8431
123,10249
104,8407
96,10782
13,12402
106,9519
3,8824
47,11273
44,11647
124,8249
110,10416
84,11465
118,10666
20,10514
7,10294
83,10773
80,9719
17,11970
32,9292
53,8090
45,12574
23,10579
30,15093
116,11351
35,7514
82,13036
67,9180
92,12262
90,8283
31,14466
95,12270
107,12171
40,15684
113,13623
119,14362
121,11391
132,6972
128,6344
129,3958
130,5346
145,7988
136,8384
131,8961
127,10230
199,9197
138,9585
137,7733
133,13029
150,8872
140,5376
139,9493
186,8996
173,6718
146,8384
191,3366
155,12847
134,10326
162,3715
213,6036
193,4335
135,11751
158,13545
144,9432
148,6878
141,9410
209,5087
190,7156
142,10115
149,7705
167,6000
156,5331
161,7349
151,8442
143,9399
163,9335
170,12645
171,5368
181,6183
174,7495
165,7011
225,7085
147,9789
164,4637
202,13869
157,8847
198,9992
195,10958
201,7781
152,11692
154,14857
196,5962
177,9298
208,12678
236,10506
200,9856
166,10000
184,10060
247,5872
175,9934
194,7133
249,10301
187,11411
235,10135
204,8995
244,6232
218,6282
153,10990
182,12589
172,10140
179,8961
159,10576
220,6254
185,12234
180,7739
245,6926
168,10818
178,9621
197,13369
224,7030
229,7622
223,9745
189,6682
227,8224
206,11020
239,8398
203,13306
169,10506
212,6494
233,6403
246,11202
211,7747
188,12153
207,7323
251,6436
214,9557
231,11039
217,5762
215,9450
205,12448
242,8867
192,11543
183,11936
226,9079
219,9670
237,9822
176,11707
216,8626
160,11664
252,7706
221,11832
210,11140
243,8521
234,5711
232,10840
250,13079
230,13314
238,9211
222,10631
253,9846
241,11394
240,12778
228,10936
248,14412
257,8305
254,11031
270,4325
255,8605
274,6894
256,13862
260,6366
266,8497
258,9556
264,12185
324,5012
265,5959
259,10925
284,7894
267,8742
262,6928
261,11738
263,10029
277,4378
301,9654
323,7778
