assortiativity_out_in,assortiativity_out_out,assortiativity_in_in,assortiativity_in_out,avg_clustering_dir,avg_clustering_undir,avg_degree,avg_path_dir,avg_path_undir,density,diameter,diameter_undir,nb_edges,nb_nodes,graph_id
-0.2133,-0.0136,-0.1104,-0.0099,0.6546,0.8477,16.4185,1.7037,2.1011,0.0008761,3,4,76929,9371,102
-0.1557,-0.0074,-0.0038,-0.0003,0.6507,0.8435,16.4185,1.7189,2.0768,0.0008761,3,4,76929,9371,60
-0.1463,-0.0014,0.0778,0.0058,0.6285,0.824,16.4185,1.7565,2.0659,0.0008761,4,4,76929,9371,112
-0.2213,-0.0147,-0.083,0.0027,0.6045,0.8376,16.4185,1.7015,2.0804,0.0008761,3,4,76929,9371,46
-0.1189,-0.0039,0.0611,-0.0011,0.6477,0.8615,16.4185,1.7375,2.0865,0.0008761,4,4,76929,9371,101
-0.2617,-0.0104,-0.1246,-0.0061,0.6566,0.8669,16.4185,1.7095,2.0665,0.0008761,3,3,76929,9371,58
-0.191,-0.0096,-0.1088,-0.0033,0.6565,0.8343,16.4185,1.7162,2.0773,0.0008761,3,4,76929,9371,79
-0.1571,-0.0065,-0.0004,0.0008,0.6472,0.847,16.4185,1.7438,2.1006,0.0008761,4,4,76929,9371,6
-0.2062,-0.0099,0.0289,0.0016,0.608,0.8304,16.4185,1.7132,2.0657,0.0008761,3,4,76929,9371,25
-0.0176,-0.0034,0.1131,0.0036,0.6056,0.8538,16.4185,1.7283,2.0987,0.0008761,4,4,76929,9371,36
-0.1357,-0.0073,-0.0397,-0.0015,0.6315,0.8349,16.4185,1.7368,2.0853,0.0008761,4,4,76929,9371,55
-0.2236,-0.0124,-0.1729,-0.0098,0.6431,0.8771,16.4185,1.678,2.0823,0.0008761,4,4,76929,9371,14
-0.2958,-0.013,-0.2367,-0.013,0.6437,0.8548,16.4185,1.7121,2.0518,0.0008761,4,4,76929,9371,27
-0.0297,-0.0031,0.0935,0.0056,0.6277,0.7963,16.4185,1.7499,2.1457,0.0008761,4,4,76929,9371,75
-0.1799,-0.0069,-0.0939,-0.0075,0.6589,0.8536,16.4185,1.7336,2.0793,0.0008761,4,4,76929,9371,9
-0.1159,-0.0041,-0.0128,0.0003,0.6398,0.8302,16.4185,1.7178,2.0635,0.0008761,4,4,76929,9371,1
-0.1489,-0.0089,-0.0424,0.0011,0.6019,0.811,16.4185,1.7223,2.0799,0.0008761,4,4,76929,9371,19
-0.1461,-0.0078,-0.061,-0.0057,0.6427,0.8381,16.4185,1.7242,2.079,0.0008761,4,4,76929,9371,68
-0.0891,-0.0033,0.0002,-0.0014,0.626,0.841,16.4185,1.7395,2.0899,0.0008761,4,4,76929,9371,109
-0.1909,-0.009,-0.04,-0.0016,0.6146,0.8265,16.4185,1.7156,2.073,0.0008761,4,4,76929,9371,54
-0.1724,-0.0089,-0.1056,-0.0007,0.6166,0.8325,16.4185,1.685,2.0524,0.0008761,3,4,76929,9371,34
-0.1643,-0.0105,-0.1199,-0.0007,0.6445,0.8482,16.4185,1.6908,2.0672,0.0008761,3,4,76929,9371,99
-0.1542,-0.008,0.0246,0.0033,0.6167,0.8094,16.4185,1.717,2.0728,0.0008761,3,4,76929,9371,29
