graph_id,failure_count
61,498
2,992
64,321
73,558
54,714
37,591
99,527
81,818
89,1038
43,951
85,337
113,1525
121,252
86,617
23,1495
18,403
3,986
70,694
62,663
91,696
63,761
79,274
25,346
114,300
57,932
116,470
97,463
83,529
104,751
12,158
112,615
53,671
71,484
49,323
65,673
30,577
126,675
6,483
7,1140
50,986
4,749
72,681
100,141
84,345
76,800
55,609
35,986
24,647
58,84
11,707
13,1193
14,806
77,382
82,180
42,577
22,910
31,367
16,1140
45,599
67,143
34,572
32,345
101,840
33,1426
27,873
36,851
90,638
123,266
1,1013
17,938
51,957
119,1241
29,632
105,1067
59,938
94,859
44,676
87,1017
111,1152
74,1161
110,1048
52,1038
10,762
26,993
66,333
38,946
115,803
106,969
5,1172
41,918
48,940
56,1477
46,629
96,976
118,1505
108,765
40,885
98,838
69,753
122,642
120,568
124,887
117,1383
95,533
28,1060
103,986
125,838
21,406
102,1407
92,1434
93,1532
47,1505
0,1588
107,1383
60,1108
68,1543
19,713
78,939
8,804
15,1118
80,1499
9,1333
109,1478
75,1564
39,1541
88,762
20,1136
127,1202
129,43
128,622
147,454
133,1185
130,984
222,1481
175,469
132,804
149,604
194,1018
148,213
140,412
188,436
136,214
145,577
155,328
134,1062
138,989
201,1162
146,676
154,227
161,343
205,870
206,841
131,1304
144,771
141,1285
202,753
162,699
152,1138
176,523
170,894
137,1136
181,656
214,1492
169,573
167,850
165,578
142,588
177,451
223,156
143,689
135,1002
156,906
171,792
168,642
166,463
197,526
160,624
178,122
195,890
164,728
189,393
150,1130
157,884
139,994
174,904
182,975
227,171
159,1002
179,588
235,271
191,1124
203,440
204,696
163,858
224,124
153,554
190,346
193,1147
158,1159
180,543
230,988
196,415
245,422
209,714
186,845
236,399
187,1002
192,262
198,1104
232,233
212,468
238,580
200,212
213,102
199,392
185,781
247,1163
151,1499
233,997
208,755
220,1147
228,829
225,618
226,1233
231,173
237,647
221,1475
239,640
218,1399
219,577
217,1011
249,600
173,1168
210,674
207,1036
172,741
229,786
234,662
246,397
250,898
183,1538
242,517
251,794
252,411
184,1381
240,1218
244,439
211,1515
216,1280
215,1403
241,1320
248,1203
253,799
243,1364
254,782
255,822
256,552
344,434
258,733
260,357
257,1330
261,319
265,549
259,834
262,493
269,183
298,689
310,882
311,818
270,161
274,653
268,475
272,552
264,804
275,84
266,1313
267,1206
263,676
319,882
283,588
277,598
292,1161
288,212
296,255
366,660
289,887
305,695
295,668
273,606
307,721
315,620
285,537
286,780
276,1149
301,584
280,825
282,1025
329,686
353,384
322,539
314,428
278,692
290,994
312,830
326,451
281,897
331,550
279,421
287,770
339,1175
303,708
304,1485
320,922
293,1485
330,657
318,1011
294,782
358,521
340,393
291,722
338,347
297,897
271,648
325,963
321,463
299,1212
370,630
328,745
308,960
354,902
302,1196
361,580
313,1328
351,155
371,371
327,510
306,563
323,137
349,255
337,1265
333,992
355,1314
367,272
332,469
346,213
324,1479
316,585
309,1146
284,1271
360,223
374,388
365,1312
363,625
317,1212
347,1129
300,1465
342,874
357,1075
356,915
335,1378
348,1490
345,433
341,1137
343,1513
368,516
336,1557
352,1466
373,721
379,1021
369,1105
364,1133
378,832
334,1508
362,1130
359,1241
372,425
350,1470
376,566
377,803
380,963
375,1398
381,897
383,335
382,689
384,405
385,390
453,1309
390,572
389,480
388,909
387,755
391,881
392,1496
401,64
397,279
393,903
402,294
409,1115
395,1444
396,506
416,676
408,687
420,522
456,508
394,575
449,324
386,368
407,718
398,1462
413,1258
410,1165
399,1418
404,633
406,1370
425,383
418,823
405,921
452,201
494,876
451,506
424,367
430,975
419,854
441,286
415,490
433,730
434,863
479,695
421,282
450,831
464,581
411,967
458,253
440,950
417,903
444,876
455,311
501,736
467,305
442,583
445,156
400,1547
427,564
403,1410
437,887
428,1505
432,997
472,984
443,510
438,745
429,1133
448,1056
414,1041
454,611
463,373
496,169
423,1026
422,880
469,382
461,1126
439,1014
446,1163
462,282
412,1543
497,650
447,1204
471,631
465,915
473,558
435,1176
470,953
457,670
460,685
436,1129
491,634
426,1508
477,635
482,833
468,922
492,817
504,1034
474,694
481,1451
459,938
476,970
478,453
485,806
493,645
487,930
489,1350
480,1166
502,747
486,581
500,617
499,839
431,1004
466,1500
475,832
490,959
483,970
484,826
495,1065
503,463
507,323
505,1047
506,467
488,1129
498,408
508,756
510,1068
509,1491
511,708
512,1361
513,297
515,763
514,886
520,255
518,937
516,856
592,455
524,530
522,693
521,675
530,577
517,1385
519,481
523,599
525,291
527,1168
526,489
528,823
532,367
534,1244
533,823
548,128
623,939
583,347
553,248
552,1173
529,423
544,768
549,140
561,213
547,231
538,1061
550,489
567,693
540,218
622,1167
539,1232
543,939
531,888
557,590
542,964
536,767
579,785
555,247
578,580
535,832
587,111
541,1293
577,135
568,418
551,1034
564,403
546,776
562,977
589,665
537,964
586,564
572,1030
563,1136
560,1169
580,468
613,810
559,797
582,1000
545,1411
556,1078
585,1268
558,1305
595,722
576,455
554,1416
593,964
620,777
616,769
609,957
566,652
584,1026
594,319
605,768
618,916
604,722
575,819
573,982
570,1297
581,1116
565,1514
588,938
621,670
574,1150
629,875
596,847
569,1154
591,1039
603,1072
628,761
597,106
601,958
619,266
590,1080
600,1007
634,821
615,608
602,754
630,621
599,1470
608,1007
606,1348
611,1145
614,1201
625,957
571,1469
598,739
612,1492
617,1526
626,1477
607,1480
632,1325
610,1520
631,1017
624,601
633,626
627,1521
635,1154
638,1496
636,1238
637,822
639,714
640,1553
641,726
642,797
658,619
643,1068
650,673
648,630
644,1017
651,818
647,211
645,627
646,1188
649,710
655,481
652,1100
657,1115
659,678
654,547
660,540
681,373
653,1121
656,819
708,443
673,933
693,706
666,416
707,146
661,1449
662,1046
663,771
679,220
682,1213
665,1064
684,686
677,874
688,646
664,411
671,1145
728,621
687,444
690,1095
710,617
669,1091
676,994
678,1497
689,940
674,1154
675,1160
667,976
685,1170
702,893
670,967
680,1016
695,1501
721,1070
672,1346
668,1046
686,1248
703,663
691,836
697,984
696,813
711,546
692,1527
751,176
694,676
705,1032
704,1137
701,1009
683,1143
719,651
699,563
729,639
709,307
738,348
706,404
727,298
718,903
712,382
698,582
700,488
715,1041
732,442
731,565
724,1016
742,1553
713,981
734,596
722,955
725,887
739,714
740,881
744,629
714,513
730,813
735,767
733,1043
746,973
745,1008
726,622
741,944
750,678
743,158
720,1475
737,1115
748,1531
755,847
723,764
749,1175
736,1365
716,1132
747,824
754,975
756,674
717,1256
761,488
758,1476
752,405
757,814
753,1249
760,280
759,649
762,770
763,781
765,766
764,1533
766,449
767,1302
768,1052
769,652
770,651
772,738
771,618
774,250
777,838
776,674
775,175
788,342
778,288
773,420
779,1044
783,521
781,530
780,984
787,714
785,868
786,785
789,467
790,1052
784,980
792,919
794,612
799,872
791,1442
793,1026
782,961
814,493
796,662
798,1028
809,99
800,1398
804,687
803,854
801,721
869,1059
808,1010
834,704
812,430
824,348
797,1332
802,1005
806,626
816,1050
805,1263
795,1221
832,385
837,194
813,981
817,971
833,405
828,259
810,732
820,320
840,622
819,101
818,906
848,598
845,1450
815,594
811,1165
853,781
856,1047
826,767
868,735
841,1143
823,1115
807,326
821,1262
825,1507
858,753
846,839
835,1072
860,904
839,1056
872,952
827,882
864,275
843,1113
855,1037
865,1053
836,835
847,697
851,1142
870,333
854,862
830,643
880,427
842,685
844,857
871,509
861,419
829,667
873,146
876,507
849,366
850,975
852,911
822,1453
838,1290
863,1022
877,867
882,642
887,891
859,1149
867,1291
875,1277
857,1294
874,1128
862,1219
881,671
886,861
831,1174
866,1454
885,1501
879,1110
883,1253
878,959
884,1139
888,1329
889,424
891,83
890,487
892,680
896,340
902,569
893,700
894,426
903,655
921,134
913,313
925,766
899,1389
929,670
897,496
951,888
895,1148
965,95
956,505
900,839
947,510
970,748
974,633
972,675
949,434
964,603
997,871
898,568
908,1528
959,1166
953,1145
904,717
901,1019
918,898
906,1514
927,733
923,1012
914,783
941,811
907,1142
910,677
911,1132
905,815
917,865
924,838
943,1328
915,1362
982,982
909,736
916,856
999,833
922,1199
919,664
912,1475
995,160
940,369
928,1126
935,365
945,869
963,419
939,585
933,538
920,743
930,405
948,1255
973,1011
993,128
954,876
957,670
984,883
967,739
926,361
976,478
934,1000
938,333
969,703
985,476
994,512
