Bi-Mutual,Cascade,Clique,FBL,FFL,Fan-In,Fan-Out,Mutual-Cascade,Mutual-In,Mutual-Out,Regulated-Mutual,Regulating-Mutual,Semi-Clique,graph_id
1,24360,1,6,4201,4207,7595082,8,9,14740,4,1414,6,61
2,24138,0,2,4825,2835,7598780,9,7,10322,1,1469,1,2
5,25157,0,4,3833,3339,7586852,9,22,20287,7,2931,12,64
4,21379,1,1,4044,2812,7590495,8,6,16866,5,2720,7,73
1,22858,0,3,4773,2768,7599773,2,3,8633,3,1845,2,54
2,25812,2,6,3139,3224,7592441,10,17,14874,1,3200,3,37
0,33479,0,1,5025,4309,7605593,5,4,5338,2,456,2,99
2,19681,1,2,4359,2575,7592607,8,5,15156,2,2364,7,81
3,18107,0,0,3375,2854,7591533,5,7,16443,2,2751,8,89
2,24726,0,0,4908,3993,7605363,7,8,6025,6,284,0,43
6,26713,1,5,4520,3590,7587246,7,22,21011,6,2031,9,85
0,19193,0,2,5152,2533,7605506,2,0,4237,0,990,1,113
4,22008,1,1,4529,3477,7593745,5,13,13886,1,2349,4,121
1,24005,0,4,6216,1641,7598166,7,14,9311,4,1583,4,86
9,11852,1,0,2560,3067,7585080,4,12,23203,0,2999,11,23
4,23159,1,2,4108,3653,7590911,3,9,17472,6,2176,10,18
6,17046,1,2,4025,2219,7586756,8,10,20739,2,2660,10,3
7,20827,0,2,4957,2311,7593711,7,0,13889,0,2143,11,70
0,26275,0,4,5936,2598,7600728,9,5,8139,3,1031,1,62
3,22085,0,0,4470,3256,7598595,2,12,10514,3,1640,6,91
0,17056,0,0,4845,2906,7600958,1,5,8077,2,1495,3,63
5,23472,1,3,4536,2857,7585178,9,17,21556,10,2778,13,79
9,23348,2,0,3415,4025,7587127,11,23,21016,3,2642,4,25
1,22110,1,5,4197,2679,7590270,8,6,15815,3,3281,10,114
3,20505,2,2,3780,2874,7589867,8,5,18139,2,2530,7,57
2,26803,1,7,5075,3250,7594534,8,11,14324,5,1460,4,116
2,23679,2,7,4004,3075,7588575,11,28,18900,3,2680,9,97
2,19306,0,1,4675,2784,7593700,9,4,13849,4,2312,8,83
2,22967,0,4,4654,3463,7599421,7,8,10457,2,1165,3,104
7,25829,2,2,4567,3007,7587729,8,20,18627,5,2958,7,12
5,21787,0,6,4630,3062,7593008,11,9,15364,5,1926,2,112
10,25324,0,2,3470,3451,7591452,6,11,16920,1,2499,11,53
2,26859,0,5,5602,3009,7598800,13,4,10043,5,1206,1,71
3,17801,4,0,3881,2966,7587195,3,11,19203,4,3282,7,49
5,17139,1,0,3076,4158,7592569,4,12,16710,2,2251,4,65
1,21976,2,1,4492,2380,7591758,8,6,15190,0,2703,9,30
5,20100,1,2,3470,3728,7589515,6,17,19076,6,2393,6,126
4,22933,2,2,3428,2837,7587767,6,13,18697,1,3475,10,6
0,22868,0,4,4509,3223,7599757,8,11,10233,2,1183,2,7
1,24111,1,1,3861,2734,7594610,4,7,13328,2,2530,5,50
0,23815,0,0,4715,2110,7593354,2,1,13764,8,2511,7,4
7,22516,3,3,3776,3410,7589507,7,26,19180,3,2190,5,72
4,29515,0,4,5417,3353,7590545,9,17,17186,14,1847,5,100
3,20511,3,1,4116,2627,7590187,3,11,15984,1,3279,9,84
2,24704,0,2,4615,2827,7597548,5,13,10997,2,1849,6,76
3,28457,1,0,5738,2712,7595659,10,8,13297,7,1079,2,55
0,22601,0,5,5197,2194,7599183,4,6,9171,0,1658,4,35
1,17655,0,1,4534,2239,7598177,4,1,8838,1,2658,4,24
6,30679,0,5,5869,3556,7590716,17,21,17453,6,1394,12,58
2,19517,0,2,4649,3191,7598035,3,14,11106,4,1535,5,11
2,26434,1,5,3344,3502,7597087,10,4,12091,0,2167,4,13
2,18896,1,3,4021,1974,7594461,7,3,12150,3,3112,4,14
4,31849,1,6,5726,2489,7594642,14,14,12954,2,1763,4,77
5,32229,0,2,4063,4752,7593010,6,26,16290,7,1742,7,82
2,18829,5,1,3833,3029,7584626,11,9,22964,2,2704,9,42
2,23028,0,0,5323,3307,7603170,8,10,7091,5,640,0,22
5,23265,1,2,4225,3239,7591171,6,2,16289,2,2577,12,31
1,23975,0,2,5502,2345,7598017,6,7,11326,5,1009,2,16
8,18318,2,4,3192,3030,7587029,6,15,19830,0,3396,8,45
5,33821,1,5,4704,3345,7592198,13,15,14840,4,2549,7,67
4,21902,2,1,3097,3990,7591966,8,17,16662,0,2558,10,34
0,28894,0,6,5693,3125,7603466,2,7,5209,3,1251,2,32
9,22596,0,4,3505,4114,7592941,8,18,17040,2,1682,5,101
0,22122,1,7,4334,2683,7601891,3,5,7353,1,1647,0,33
3,25769,0,1,4816,2269,7595307,13,2,12656,2,2036,5,27
0,22113,1,2,4063,3070,7595965,6,3,12550,2,2139,6,36
1,20464,0,2,3916,3063,7594284,4,11,13638,2,2508,9,90
3,21561,2,6,4259,3052,7584666,9,12,21977,7,2962,14,123
2,18769,0,4,4107,2819,7596497,4,12,12207,2,2027,3,1
1,14873,1,0,3611,2620,7595183,0,2,12414,1,2829,4,17
2,23152,0,2,4030,2339,7591499,9,10,15839,2,2741,8,51
2,21178,1,2,4464,1872,7595391,10,5,12371,2,2316,2,119
9,21436,0,3,4169,3557,7593267,8,15,15739,5,1837,4,29
2,17385,0,1,3572,3817,7598543,3,9,11572,3,1590,2,105
2,21176,2,0,4158,1786,7591993,3,2,14521,0,3090,8,59
0,18458,2,0,4085,2466,7596052,1,5,11582,1,2571,5,94
6,20951,0,3,4196,3440,7591754,15,13,17203,3,1846,5,44
2,21005,1,1,4194,2832,7595571,3,11,13009,3,2043,4,87
1,14326,0,0,4463,2946,7600861,0,3,8677,5,1435,1,111
3,12099,1,0,3868,2886,7595585,1,1,13157,0,2127,4,74
0,23622,1,2,4733,2511,7597704,8,6,10792,3,1816,2,110
3,18059,2,3,3238,2552,7590150,7,0,17161,0,3150,7,52
5,16496,1,0,3748,3002,7594631,4,6,13522,0,2480,3,10
2,19953,0,0,4235,2923,7597604,5,7,11215,2,1906,2,26
5,26876,2,3,4503,3150,7588675,12,16,18779,5,2440,7,66
2,23176,1,2,3975,2917,7595721,4,8,12797,3,2185,2,38
3,18192,1,1,3676,2965,7591316,4,7,16539,2,2662,6,115
3,26714,0,5,4288,3937,7602164,3,12,8438,1,991,0,106
1,18541,0,1,4377,3376,7601104,5,6,9141,3,1123,1,5
2,17835,1,2,4985,2239,7590765,8,6,17298,4,1900,7,41
5,17988,2,0,3758,1954,7591335,4,2,15247,2,3256,5,48
3,19413,1,4,4090,1848,7591712,4,5,15923,2,2562,9,56
0,22456,0,3,5602,2773,7601683,3,5,7215,2,1184,3,46
1,18118,1,2,3895,2379,7596457,2,1,11201,2,2656,3,96
1,13431,0,2,3403,2903,7600344,3,2,8706,0,2208,3,118
1,22812,3,1,3586,2602,7593648,7,7,13597,1,3011,4,108
1,25610,0,6,4995,2871,7598734,7,14,10587,11,1269,3,40
6,22638,0,1,4348,2748,7590724,9,12,17457,7,2159,5,98
1,26743,0,3,5581,3414,7606208,6,5,4201,0,441,0,69
1,18401,4,2,4696,2239,7595534,4,5,11444,2,2591,2,122
3,29217,0,6,6375,2258,7600691,6,8,7796,4,1000,2,120
1,18541,1,1,4413,2289,7592950,7,3,14582,1,2454,7,124
5,15293,0,1,2616,3686,7592412,3,17,16896,1,2466,7,117
2,28190,0,5,6053,2065,7594264,12,10,13421,5,1556,5,95
3,16888,1,1,5115,2686,7593750,6,13,15541,3,1225,4,28
2,23948,1,0,4821,2570,7597840,2,1,11129,6,1537,1,103
4,15195,2,0,3647,3063,7591377,5,4,16826,4,2500,5,125
6,17134,1,3,4132,2884,7588092,3,6,18623,2,2998,11,21
0,15407,3,2,3510,1804,7589825,9,3,16931,1,3290,7,102
0,17703,0,1,4812,2678,7604430,2,6,5179,2,1226,1,92
4,13488,1,0,3082,2489,7589424,2,8,18543,1,2901,9,93
0,17352,0,3,3834,2826,7600650,5,0,8652,0,1865,4,47
3,17169,0,1,4107,2845,7592902,5,18,16540,4,1654,5,0
1,19208,0,2,4481,3009,7601683,4,7,8317,1,1194,2,107
5,21121,0,1,3686,3460,7593720,7,11,15691,2,1878,6,60
0,20962,0,3,4612,3149,7606236,1,0,4356,0,836,1,68
4,22476,1,5,4585,2253,7590778,8,11,16519,0,2483,8,19
0,24283,0,2,4746,3263,7601664,4,3,8110,3,1173,3,78
3,21879,1,4,4433,2860,7595521,4,12,12864,5,2020,3,8
1,21892,1,2,3844,3492,7596942,5,10,12952,0,1560,6,15
2,18621,1,0,4097,2158,7598283,3,6,10007,0,2240,2,80
3,17903,0,3,4529,3006,7595842,6,13,14015,4,1239,1,9
2,15155,0,3,3596,2981,7597973,4,8,11374,0,1962,3,109
1,18112,0,3,4160,2174,7594924,9,7,13431,4,2169,6,75
0,21326,0,2,4975,3235,7606501,4,3,4660,1,369,0,39
1,22535,0,2,4264,3493,7596864,6,11,12447,3,1643,4,88
0,14352,0,0,3447,2698,7599664,0,1,8510,0,2625,4,20
2,27082,0,5,5646,2577,7600241,9,3,9866,5,554,1,127
5,34126,2,4,5385,4324,7594118,10,17,14696,13,1317,6,129
4,17741,0,0,5063,2363,7593426,12,2,14244,4,2057,6,128
6,24879,2,0,4503,2683,7586458,9,15,20596,5,2639,9,147
2,17118,1,1,3280,2461,7590603,4,10,16831,2,3068,9,133
15,17732,2,0,3303,3425,7585438,8,12,23522,1,2284,9,130
3,16945,0,1,3637,3157,7597908,6,2,11628,1,1844,4,222
6,17576,5,1,3809,2660,7590973,6,2,15612,0,3224,5,175
4,17005,1,1,3855,2606,7586537,6,6,20829,5,2807,13,132
2,20089,2,5,3964,3331,7594994,8,9,13363,2,2264,6,149
2,14330,2,1,3454,2695,7592676,2,0,15145,0,2791,6,194
4,35936,0,4,5442,3720,7598255,9,13,10700,9,1224,6,148
1,29339,0,5,4693,3600,7600440,4,6,8299,2,1717,3,140
6,22762,1,3,4515,3724,7596843,6,9,12163,1,1665,6,188
1,32991,2,4,5374,3061,7594693,8,16,12820,9,1980,4,136
2,29306,0,1,4720,4102,7602660,6,8,7770,1,858,2,145
10,25123,3,1,2966,3460,7586225,11,9,20364,2,3633,13,155
10,19098,0,2,4718,1941,7584548,12,16,23224,5,2172,9,134
4,17852,3,1,3673,2041,7588203,6,10,18465,1,3255,4,138
5,20737,0,0,3998,2384,7592646,5,6,15370,3,2420,6,201
3,20178,1,4,4562,2585,7595533,7,2,12149,4,2307,2,146
3,30359,3,5,4667,2645,7590519,9,10,15471,5,3089,9,154
1,19731,5,4,3368,2118,7583761,5,9,20726,5,4490,9,161
0,29428,0,5,5851,2531,7602108,4,9,7380,6,764,1,205
3,14704,1,0,3168,3737,7592293,1,13,16859,4,2268,6,206
3,19735,0,2,4284,3212,7590838,12,12,18968,4,1379,6,131
2,20294,0,1,4499,2460,7594132,7,11,13784,3,2220,6,144
2,14919,0,2,3791,3506,7598342,4,4,11853,1,1440,3,141
1,19538,0,3,4696,1634,7592810,6,5,13643,3,2852,8,202
7,20123,1,1,4642,2220,7590522,10,5,16648,1,2513,10,162
1,23354,0,2,4944,3380,7604942,1,9,5560,3,713,1,152
1,25002,1,2,3945,3178,7592697,6,9,15133,6,2539,5,176
7,22550,2,3,3183,3800,7596288,3,4,13027,5,2180,0,170
