assortiativity_out_in,assortiativity_out_out,assortiativity_in_in,assortiativity_in_out,avg_clustering_dir,avg_clustering_undir,avg_degree,avg_path_dir,avg_path_undir,density,diameter,diameter_undir,nb_edges,nb_nodes,graph_id
-0.2807,-0.0295,-0.2034,-0.0041,0.1774,0.2737,3.7998,2.5733,2.8009,0.0003103,6,8,11635,6124,61
-0.1801,-0.0122,-0.1365,-0.0184,0.2291,0.3712,3.7995,2.2964,2.7462,0.0003103,5,6,11634,6124,2
-0.2492,-0.0278,-0.2518,-0.0137,0.2357,0.3139,3.7995,2.7675,2.7792,0.0003103,6,6,11634,6124,64
-0.1207,-0.0154,-0.0838,-0.0102,0.2359,0.3271,3.7998,2.5624,2.8397,0.0003103,6,7,11635,6124,73
-0.1244,-0.0093,-0.1451,-0.0258,0.2204,0.3411,3.7995,2.604,2.8281,0.0003103,7,6,11634,6124,54
-0.1322,-0.0166,-0.0803,-0.0146,0.2421,0.3146,3.7995,2.6305,2.7959,0.0003103,5,6,11634,6124,37
-0.2608,-0.044,-0.2132,-0.0357,0.1341,0.2455,3.7995,3.4323,2.8588,0.0003103,10,6,11634,6124,99
-0.1361,-0.009,-0.015,-0.0081,0.25,0.37,3.7995,2.9765,2.7726,0.0003103,8,6,11634,6124,81
-0.0167,-0.0029,-0.2328,-0.0061,0.2642,0.3653,3.7995,2.631,2.7768,0.0003103,6,6,11634,6124,89
-0.1911,-0.0245,-0.1567,-0.0063,0.1575,0.3016,3.7995,2.8901,2.8012,0.0003103,8,6,11634,6124,43
-0.3084,-0.0307,-0.2783,-0.0238,0.209,0.3123,3.7995,2.644,2.7648,0.0003103,7,7,11634,6124,85
0.0347,0.0046,-0.0697,-0.0111,0.2314,0.3962,3.7995,2.3915,2.8191,0.0003103,6,6,11634,6124,113
-0.2071,-0.02,-0.0535,-0.0121,0.2083,0.3012,3.7995,2.2775,2.8385,0.0003103,5,7,11634,6124,121
0.0577,-0.008,-0.0297,-0.0018,0.2372,0.4067,3.7995,2.9817,2.8297,0.0003103,7,7,11634,6124,86
-0.0364,-0.0047,0.0426,0.0101,0.2854,0.3654,3.7995,2.7356,2.8004,0.0003103,7,6,11634,6124,23
-0.1857,-0.0288,-0.1524,-0.0134,0.2009,0.2989,3.7995,2.4904,2.7674,0.0003103,7,7,11634,6124,18
-0.0224,0.0002,-0.1342,-0.0004,0.2933,0.4097,3.7995,2.3807,2.7447,0.0003103,6,7,11634,6124,3
-0.1647,-0.0126,0.0391,0.0077,0.2369,0.3686,3.7995,2.172,2.7933,0.0003103,4,7,11634,6124,70
-0.2212,-0.0086,-0.1323,-0.0185,0.2265,0.387,3.7995,2.407,2.7179,0.0003103,6,7,11634,6124,62
-0.1663,-0.0189,-0.0853,-0.0117,0.198,0.3188,3.7995,2.5565,2.815,0.0003103,6,6,11634,6124,91
-0.0148,-0.0045,-0.1613,-0.0211,0.1995,0.3339,3.7995,2.0732,2.8445,0.0003103,5,6,11634,6124,63
-0.1724,-0.0292,-0.2083,-0.0181,0.2325,0.33,3.7995,2.5345,2.8503,0.0003103,7,8,11634,6124,79
-0.2615,-0.0329,-0.2057,-0.0181,0.2076,0.275,3.8001,2.7816,2.8435,0.0003103,7,8,11636,6124,25
-0.1102,-0.0136,0.0644,0.0036,0.2506,0.3404,3.7995,2.5879,2.844,0.0003103,6,6,11634,6124,114
-0.1919,-0.0119,-0.1677,-0.0066,0.2606,0.3641,3.7995,2.5454,2.7588,0.0003103,6,6,11634,6124,57
-0.2483,-0.0306,-0.2298,-0.0122,0.1918,0.3156,3.7995,2.3275,2.7813,0.0003103,5,7,11634,6124,116
-0.2547,-0.0252,0.0446,-0.0024,0.2249,0.328,3.7995,2.7197,2.733,0.0003103,6,7,11634,6124,97
-0.1302,-0.0146,0.0185,0.0032,0.2177,0.3157,3.7998,2.5578,2.9008,0.0003103,7,7,11635,6124,83
-0.0256,-0.0163,-0.1716,-0.0056,0.1942,0.3224,3.7998,2.7138,2.8056,0.0003103,7,7,11635,6124,104
