graph_id,failure_count
61,55
26,26
122,5
58,96
28,8
59,34
5,14
19,58
16,48
25,7
13,25
12,2
17,71
6,11
0,16
18,18
4,10
15,48
3,23
2,27
7,7
9,15
29,65
23,35
11,11
44,13
82,9
22,20
34,6
30,29
1,12
63,10
14,32
10,140
35,58
8,56
24,12
20,5
27,14
21,31
56,7
68,5
71,9
62,105
51,66
38,32
47,3
45,68
74,88
66,41
54,29
52,12
55,23
49,33
60,31
73,15
53,18
67,5
33,94
41,8
98,12
64,67
43,116
42,23
57,12
36,4
65,11
83,58
75,125
72,9
40,67
87,9
48,67
93,5
96,34
81,27
50,7
76,20
79,27
70,22
85,3
46,66
92,34
69,11
89,69
78,10
80,23
88,12
37,2
115,16
32,8
77,57
97,52
31,41
118,50
110,7
116,17
95,168
99,142
86,23
90,97
107,18
105,16
108,13
100,36
119,23
94,8
112,2
114,50
103,41
104,21
91,50
124,68
117,39
39,18
121,69
120,54
84,22
111,35
101,37
102,11
109,47
125,8
123,24
113,152
106,51
126,159
247,69
127,102
128,49
129,7
130,9
132,0
131,33
133,1
157,3
138,65
135,13
140,46
139,4
149,51
136,69
155,10
137,8
146,11
144,32
163,39
141,44
159,24
158,13
145,62
172,11
134,130
147,20
143,138
175,50
153,54
165,105
188,14
166,3
154,40
160,9
156,20
168,12
151,24
174,14
150,14
171,52
183,8
161,10
162,66
142,44
148,3
177,22
167,171
198,29
170,23
190,6
186,8
152,104
169,19
182,45
195,13
178,16
176,27
203,8
197,7
214,15
200,46
204,12
191,61
201,50
184,44
164,149
194,20
187,139
173,18
209,71
185,31
217,31
181,31
202,7
189,8
213,66
196,6
205,3
207,8
193,32
179,7
212,32
206,55
199,55
210,39
180,68
208,45
216,30
218,26
221,31
215,31
222,11
235,60
231,10
251,5
241,107
234,43
233,6
225,27
250,12
220,3
236,9
237,45
232,33
226,44
239,55
249,8
219,15
223,17
238,9
252,74
228,36
245,20
229,14
192,18
230,11
224,117
242,7
243,6
244,25
253,0
240,40
246,30
227,75
211,117
248,44
254,17
255,23
256,130
306,8
258,12
257,31
261,37
262,142
264,26
259,27
263,53
260,13
266,35
271,16
274,75
270,26
265,51
280,12
275,98
281,36
273,14
277,137
286,110
279,28
381,12
293,57
288,37
268,20
290,49
297,10
272,47
299,14
287,10
320,14
298,10
307,10
284,36
267,109
283,32
292,70
301,15
276,4
302,79
300,10
282,16
326,24
336,4
305,20
285,18
316,47
317,22
309,33
295,108
313,40
322,11
289,28
319,13
321,8
303,85
308,21
314,58
278,18
315,6
296,21
269,71
294,4
330,15
364,33
333,10
304,76
337,56
311,12
338,30
291,13
328,8
318,42
339,59
323,43
327,22
335,71
325,126
329,91
350,14
324,148
310,7
332,4
334,13
331,7
347,57
340,60
360,98
312,13
346,24
354,9
