Bi-Mutual,Cascade,Clique,FBL,FFL,Fan-In,Fan-Out,Mutual-Cascade,Mutual-In,Mutual-Out,Regulated-Mutual,Regulating-Mutual,Semi-Clique,graph_id
0,2832,0,0,174,1803,158480,0,3,238,0,1,0,61
0,2691,0,0,149,1879,158246,1,3,473,0,12,0,26
0,2961,0,0,238,1869,158655,0,0,0,0,0,0,122
0,2970,0,2,231,1651,158664,0,0,0,0,0,0,58
0,3071,0,1,134,1962,158759,0,0,0,0,0,0,28
0,2983,0,0,158,1825,158485,0,1,234,0,8,0,59
0,3015,0,1,144,1926,158747,0,1,27,0,0,0,5
0,2761,0,1,147,1824,158417,0,5,330,0,3,0,19
0,2990,0,1,252,1733,158641,0,0,0,0,0,0,16
0,2711,0,0,144,1951,158402,0,0,339,0,4,0,25
0,2940,0,2,332,1701,158568,0,0,0,0,0,0,13
0,2621,0,0,124,1979,158344,0,10,402,1,11,0,12
0,3117,0,1,139,1811,158784,0,0,0,0,0,0,17
0,3061,0,0,133,1943,158767,0,0,0,0,0,0,6
0,2996,0,1,190,1862,158703,0,0,0,0,0,0,0
0,3041,0,0,164,1898,158729,0,0,0,0,0,0,18
0,3067,0,0,160,1940,158733,0,0,0,0,0,0,4
0,2760,0,0,225,1757,158513,0,1,153,0,1,0,15
0,3005,0,0,171,1896,158722,0,0,0,0,0,0,3
0,3024,0,0,242,1806,158651,0,0,0,0,0,0,2
0,3080,0,0,123,1977,158770,0,0,0,0,0,0,7
0,2905,0,1,217,1863,158481,0,1,191,0,2,0,9
0,2612,0,0,153,1788,158316,0,2,404,0,10,0,29
0,2469,0,0,140,1857,158190,0,3,563,0,0,0,23
0,3055,0,0,140,1939,158753,0,0,0,0,0,0,11
0,2541,0,0,128,1931,158249,0,3,481,1,17,0,44
0,2620,0,1,191,1876,158338,0,8,349,1,7,0,82
0,3028,0,0,193,1857,158700,0,0,0,0,0,0,22
0,3035,0,0,166,1938,158727,0,0,0,0,0,0,34
0,2876,0,1,92,1952,158550,0,3,243,0,4,0,30
1,2498,0,0,117,1951,158202,1,3,552,0,10,0,1
0,3043,0,0,166,1923,158766,0,0,0,0,0,0,63
0,2277,0,0,160,1831,157963,0,5,714,0,28,0,14
0,3140,0,1,203,1679,158635,0,3,53,0,1,0,10
0,2990,0,1,199,1783,158694,0,0,0,0,0,0,35
0,2791,0,1,118,1845,158519,1,1,248,1,3,0,8
0,2659,0,0,135,1922,158346,0,0,390,0,11,0,24
0,2731,0,0,140,1965,158410,0,2,341,0,1,0,20
0,3051,0,1,141,1918,158752,0,0,0,0,0,0,27
0,3049,0,0,178,1861,158720,0,0,0,0,0,0,21
0,3057,0,0,138,1963,158756,0,0,0,0,0,0,56
0,3039,0,1,166,1935,158727,0,0,0,0,0,0,68
