assortiativity_out_in,assortiativity_out_out,assortiativity_in_in,assortiativity_in_out,avg_clustering_dir,avg_clustering_undir,avg_degree,avg_path_dir,avg_path_undir,density,diameter,diameter_undir,nb_edges,nb_nodes,graph_id
-0.0549,-0.01,-0.0109,-0.0054,0.0168,0.0336,3.3752,2.79,3.7777,0.0009915,9,10,2874,1703,61
-0.2032,0.0242,-0.0626,-0.0046,0.023,0.0412,3.3729,2.5374,3.668,0.0009909,9,10,2872,1703,26
-0.0377,-0.0163,0.0512,-0.0272,0.0207,0.0415,3.3752,2.542,3.7913,0.0009915,8,10,2874,1703,122
0.1391,0.0244,-0.0231,0.0185,0.0249,0.0497,3.3705,2.7431,3.7856,0.0009902,8,10,2870,1703,58
-0.1194,-0.026,0.0218,-0.0296,0.0143,0.0287,3.3764,2.3113,3.7713,0.0009919,7,11,2875,1703,28
0.1068,-0.0293,-0.071,-0.0372,0.0215,0.0407,3.374,2.0989,3.8456,0.0009912,6,10,2873,1703,59
-0.1023,-0.0013,-0.0015,-0.019,0.0134,0.0268,3.374,2.3862,3.7383,0.0009912,7,10,2873,1703,5
-0.0996,0.019,-0.074,0.0031,0.0202,0.0396,3.3764,3.8646,3.723,0.0009919,13,11,2875,1703,19
0.0348,0.0169,0.0431,-0.0098,0.027,0.0539,3.374,2.8704,3.7346,0.0009912,10,9,2873,1703,16
-0.0885,-0.0208,0.0534,-0.023,0.0139,0.026,3.374,2.3118,3.8203,0.0009912,8,9,2873,1703,25
0.1317,-0.0013,0.0815,-0.0079,0.0318,0.0637,3.3764,2.3931,3.847,0.0009919,6,10,2875,1703,13
-0.1461,-0.0132,0.1343,-0.0076,0.0149,0.0265,3.3717,2.1923,3.7509,0.0009905,6,10,2871,1703,12
-0.0825,-0.0145,-0.0516,-0.0413,0.0151,0.0302,3.3729,2.2873,3.7191,0.0009909,7,9,2872,1703,17
0.0099,-0.0156,-0.0836,-0.0434,0.0131,0.0261,3.3752,2.0398,3.7749,0.0009915,6,10,2874,1703,6
0.054,0.0029,-0.0501,0.0222,0.0172,0.0344,3.3705,2.8263,3.7631,0.0009902,9,10,2870,1703,0
-0.0333,-0.0151,0.1064,-0.0259,0.0144,0.0288,3.3705,2.3622,3.7789,0.0009902,7,10,2870,1703,18
-0.0183,0.0026,-0.0093,-0.0229,0.0157,0.0314,3.3752,2.1381,3.7366,0.0009915,6,8,2874,1703,4
