"","Dbx1","Dbx2","Irx3","Nkx22","Nkx61","Nkx62","Olig2","Pax6"
"E870_349",0.0560256538913738,0,0,1.9846418247037,2.62873625948096,0,0,0.036798912365299
"E1272_24",1.68040259562537,1.40879333510342,1.70434129444934,0,0,1.64942239549944,0,2.50103429994907
"E1577_359",0,0,0,0,2.37519876193706,0,2.4538692767396,0
"E1921_460",0.0875733349235317,0.00240897044783647,0,2.7236572265351,0,0,0,0
"E1269_63",0,0.00115818295105088,0,0.40614221144191,0,0,2.08436783399119,2.38994939318824
"E115_296",0,0,0,0,2.67142867166875,0,2.78140009848918,0
"E834_287",0,0.00525578075161075,1.73137088341237,0,0,0,0,2.3217018335952
"E1491_189",0.270912511542097,0.650520405429974,2.9017565598628,0,2.40949076572806,0.157825887403986,0,2.81256014888686
"E1034_335",0,0.00370232767343762,0,2.6759113420254,2.19852042073937,0.0868305662467919,0,0
"E949_195",0,0.178195620087096,2.64077678338169,0.102991394270594,1.9912464812669,0.200399401600768,0,3.05766347941562
"E1245_273",0.0244980514709387,0,0,3.03271195442422,2.62980265529521,0,0,0
"E114_444",0.00366167530712477,0.106014304897074,2.15841691609305,0.015513960279779,0,0,0,2.87218589108845
"E682_408",0,0.000857788804720243,0,2.22874608227272,0,0.00287563260467363,0,0
"E1847_12",1.26616947060591,1.62310280498611,0,0,0,1.03750170664665,0,2.3357741716683
"E48_323",0.269089186106826,0.232821181448955,1.5509232145581,0,2.67128058330334,0,0,2.43004186288277
"E944_122",0,0,0,0,3.12597123201203,0,0,2.06425954966584
"E19_331",0,0,0,2.73420046939832,0,0.0298293335859391,0.0142028358911738,0
"E1464_247",0,0.0411729315959115,2.31829296674,0,2.5126078894144,0.00198443180747182,0.00125599010295313,0
"E1879_100",0.393621538162866,0.171560406444243,0,0,0,0.578008729194228,0.709511382737532,2.13928552687973
"E1184_413",0,0,0,2.71769961134628,2.74208475118928,0.0355564183322421,0,0
"E781_187",0,0.0104551849904224,0.114086845317634,0,0,0,1.65968921767331,0
"E195_198",0,0,0,2.28167620945061,0,0,0,0.0317839030530367
"E821_336",0,0,0,2.66534500952997,0,0.0080012932359619,0,0
"E169_225",0.0221827436653588,0,0,0,3.09926027699235,0,0,1.13042485343194
"E49_224",0.457271076161346,0.0706963639924552,0,0,0,0.340149063859289,0,0
"E1980_195",0,0,0.14744335221337,1.93371222526455,2.15590915209944,0,0,0
"E1223_294",0.0286029094077169,0,0,0,0,0,2.57781596780554,2.38572298874645
"E878_55",0.185707913096364,0.141556844257979,0,1.08539191138123,0,0.212335838451155,0,0
"E1544_229",0.0199867327923599,0,0,2.44054479163455,0,0,0,0
"E1433_131",0,0,0,2.12260774711139,2.52715452654552,0,0,0.363749072131586
"E952_324",0,0,0,2.67681425315522,0,0,0.0515608535888453,0
"E1318_470",0.0171209712186704,0,2.46319211078956,0,2.47249416331199,0.0114068790050245,0,2.47805009490625
"E1853_426",0,0.00359440403501421,0,2.09713515609789,0,0,0.0174802483657034,0
"E1097_259",0,0,0,0.000222985292678258,2.79362726190919,0.0838464377159782,2.05331499131447,2.59947135042003
"E231_495",0.0138109661583117,0,0.263273037225106,0,0,0,2.39040925839299,0
"E1150_331",0,0.111821013886839,1.99008173135972,0,3.14631709157302,0,0,2.32652639030031
"E398_307",0,0,0.0195841244454516,2.46010725153297,2.45020720596391,0.0100286068174305,0,0
"E1023_215",0.247178227154202,0,0.0422294136291411,0,2.71900524321989,0,1.6698021560692,0
"E1637_123",0.154662945820864,0,0,0,2.40568273835559,0.29752530185217,0,0
"E838_17",1.81524819613033,0.898534191725593,0.557004106311016,0,0.967680354787208,2.01109232307475,1.66996056704666,0
"E428_473",0,0,0.00932131468783097,2.07754570470088,2.23999948077891,0.000782996004048105,0,0
"E396_115",1.87426803637505,0.376041330951948,0.681989219320815,0.0453328749187451,0,0.546928789393989,1.8110699134096,2.68702702513771
"E1198_375",0,0.0030819309763829,0,2.62478914213106,0,0.224577599601556,0,0.010069449597796
"E771_282",0.0105030248399972,0.0118691394448827,0.0225674206578323,0.0632567967569047,2.5335807219958,0,2.15694474286072,0
"E1485_316",0.00312133512125213,0,0,2.37673040476728,2.68400580789872,0,0,0
"E627_483",0.0994834046714845,0,2.42492383594659,0,0,0.0270665370699851,0,0
"E474_192",0,2.41583985930185,2.52563045259739,0,0,2.01000335424036,0.306267361496008,0
"E925_470",0.00120479701304842,0,0,0,2.36784915220635,0,2.05956998274531,0
"E192_385",0.135633237468751,0.0849461178408625,0.0114042027382255,0,0,0,1.92719146084453,1.97616036339237
"E312_381",0.0278531115244522,0,2.72454161827995,0.00806686020674437,2.1436028242145,0,0,2.39901567672416
"E1839_484",0,0,1.72667801078351,0.00339651345718972,2.28700334809616,0,0,2.14797734227199
"E1746_342",1.89075906420851,2.21569711643452,2.65937131238142,0,0,0.00368615857710985,0,2.31088403880409
"E1855_205",0.0245732933234211,0,0,2.08274695122264,0,0,0,0
"E1981_433",0,0,0,0,2.53841212214189,0,2.49615617436514,2.08230456448477
"E1138_193",0,0,2.06786607003778,0,0,0,0.053719148249687,0
"E395_458",0.00118414663109006,0,1.72060693106252,0.0226274889422778,2.42292798262753,0,0,2.15265295733675
"E1129_63",0.481499102767763,0.11177780702061,0.765350304495447,0.243877602675564,0,0.349301429383393,0,0
"E1707_166",0.228702307220463,0.00148283161056042,0,0.0735679789649312,0,0.0381792940319093,3.03362286116705,0
"E1178_455",2.80630480755546,1.80806669731737,2.44265180900736,0,0.0683961025835672,0,0.0163279638742123,0
"E511_22",0.610791839669126,0.786153725557334,0,1.82096205476016,0,0.957365987275573,0,0
"E183_159",0.0330016644223836,0,0.00704969268600702,2.32608224672638,2.8057555754651,0.0116039433180566,0,0
"E1379_277",0.00664954043165145,0,0,2.09233618531072,0,0,0,0.15880372911338
"E274_324",0,0,0,2.10699605781379,0,0,0.0517988076632435,0
"E1640_13",1.31173899925913,1.7058954461667,0,1.82929722685947,1.22888909669735,1.47888146517183,0,0
"E524_33",1.02344026195889,1.54193567111972,1.5870946483094,1.57835642928706,0,0.864398555090139,0,2.30472705094886
"E1049_151",0.0026741535119046,0,0,1.90529769432022,1.48405982881449,0,0,0
"E393_334",0,0.0599435139439697,2.84142406328431,0.282174385867872,0,0,0,0
"E1271_243",0,0.0618180420558764,2.16565751866606,0,2.45897081628562,0,0,2.96738771119027
"E1682_97",1.21911725133566,0.875107228069387,2.53825038523573,0,0,0.721719227040368,1.52604200552066,2.54353843854617
"E1299_83",0.77136117768351,0.780617219656969,2.13822003216873,0,0,0.82749799281274,0,0
"E460_38",1.68765490720776,1.46555033346029,0,1.59257667627873,1.98719643179668,1.5988657271897,1.48800155455402,0
"E749_258",0.0387201209068398,0,0.259197543882921,0.0432288418027963,2.06162022259467,0,2.02711063400433,2.40732944075107
"E844_364",0,0,1.7529723404682,0,0,0.0293280101293784,0,3.05788377730655
"E1476_117",0.248335332222078,0.228096603608388,1.71141709785415,0,2.27061346808018,0.183575786560826,0,0
"E1895_278",0,0,0.00491042318618885,2.04638325820905,0,0.18195398079427,0.0130464829724598,0
"E1568_140",0.596794047451907,0,0,0,0,0.16028082694614,2.28345371923874,0
"E1053_298",0,0.0151514043168411,1.99970187464162,0.00325186007392611,2.56183324070796,0,0,0
"E1574_45",0.335537272713093,0.523229993069662,0,0,2.96579582713386,0.735751789244185,0.712503178042511,0.789002300052912
"E1098_135",0.0178897804005059,0.0619074199711395,1.61476706542055,0,0,0,0,0
"E497_414",0.109860197231276,0,2.26262622167434,0.00149247298895525,2.47362587596315,0,0,0
"E273_289",0,0,0,2.33587816154439,0,0,0,0
"E1778_336",1.7607907357714,2.23822311852068,2.34798892361435,0,0.0391407113487449,0,0,2.7543446212243
