"","Coup","Emx2","Fgf8","Pax6","Sp8"
"E48_352",1.94128886822298,2.21374194147018,0,0.0154064975947259,0
"E113_298",1.96869533611799,1.76140946479728,0,0,0
"E865_267",2.19930717067005,2.03365601122018,0,0,0.0570654358980509
"E1158_69",0,0,0.649151309436817,0.809069268199864,0
"E1537_293",2.3429990292,1.74034682287636,0,0.00828474614284572,0
"E621_401",2.50307519396476,2.64121191113425,0.0160134319003758,0,0
"E848_308",2.42242619740425,2.09262946391511,0.0816409117951089,0.0635419650935714,0.0343501653071693
"E543_438",0.0555741118068726,0,2.26499970466932,2.04834622693264,1.85350108654667
"E1008_101",0,0,0,2.13095917341448,0
"E998_92",0,0,0.233261958654796,0,0
"E1298_338",2.44926804568815,2.36739329780376,0,0,0
"E1783_428",1.92941607820021,1.75673399995899,0,0.00100158299686308,0.0208865768657564
"E1782_476",2.69086642276508,1.7075348618631,0,0,0.0264137895855373
"E966_101",0,0.0128075089084125,0,0,0
"E1068_77",0,0,0,0,2.19021421988193
"E1654_63",0,0,0.660222433940814,0,0
"E14_384",0,0,2.58632469548421,2.03599614672868,2.49633803988768
"E1271_176",0,0,3.13933593389095,2.93255543400456,2.30871701042636
"E43_258",2.26909141826915,0.905606939360771,0.00293593215173582,0,0.00457618099668185
"E148_362",2.78615469567652,1.69913363490001,0.000313490664146142,0,0
"E1921_458",2.0933906241739,2.73740877171124,0.02276429231356,0,0
"E1552_491",0.00214634433029024,0,2.19644922660192,0,2.32775470313907
"E1587_214",2.3847813210261,0,0,0,0.00361132654130218
"E1185_268",0.0098224945726652,0,2.16108469947892,2.14641777008189,2.35071569857286
"E38_329",0,0.0485303684513831,2.223556436635,2.57372496054176,0
"E1807_23",0.0113289050398246,0,0.0498666392131359,0,2.75569576495258
"E840_377",2.14810954066512,2.17560656649672,0,0,0
"E1621_421",2.64236471941155,2.14067401568586,0,0.00192013198679721,0
"E1753_101",0,0,0.113469780096364,0.339451003241796,0
"E1974_47",0,0,0,0,0
"E1059_44",0,0.00196497506853898,0,0,2.13763109375555
"E1528_299",0,0,2.53642361323435,2.37187448839086,0
"E413_159",2.61427297040049,2.11448146421035,0.00403278885801084,0,0
"E0_195",2.55622822356151,1.82581710089588,7.23232621839889e-06,0,0
"E1720_96",0,0,1.17045524292052,0,0
"E921_94",0,0.000106030237768034,0.0303277017418665,0.306567621607933,0
"E1316_85",0,0,0,1.96582976939932,0
"E1041_226",2.29990363085854,2.30258732702643,0,0,0
"E1099_142",0,0,0,0,0.74352368688075
"E1272_323",1.89898950686624,1.80278512445554,0,0,0
"E62_389",0,0,2.10651559558233,2.00641811121153,2.14767768051271
"E1590_488",0,0,1.91213880051461,2.21532691289769,1.86717314824756
"E1833_425",2.24624162884298,1.65001260747197,0.00657663836238415,0.0291606209428857,0.00868855363518737
"E1584_353",0.161409834777961,0.0201139015819891,2.05241053214358,2.28097787474964,2.32081720453037
"E221_41",0,0.00970081106779629,0,0.0492632695755479,2.53223584325664
"E166_72",0,0,0.838511383789861,1.50077323428024,1.57102520654167
"E926_407",0,0,0,0.00911496114403674,0.0126135275504671
"E568_112",0,0,0,1.98064740630864,1.61474109844211
"E742_255",1.92590045453159,2.21342691223227,0,0,0
"E649_313",1.90722869433068,0,0,0,0
"E1207_387",0.0149872417764764,0.0157277195728815,0,2.01721455895969,2.36790157737605
"E1842_231",0.0125549925625801,0.00348623383386144,2.43331936601571,0,2.25710311822141
"E1141_115",0,0,0,1.40018700648243,0
"E1361_166",0,0,0,1.96527861916825,0
"E1920_259",0,0,1.72624421494897,2.1955313051298,2.18455214739432
"E1977_459",0,0,2.18641381776772,1.95313378841119,2.03627405816117
"E154_413",0.0109128299060409,0,1.95114986172478,2.06544620941326,2.28733657124864
"E1735_82",0,0,0,0,1.92805708695917
"E411_119",0.786825975825314,0,0,0,0
"E1124_247",0,0,1.82871765227861,2.21290010771675,2.36801887237554
"E1517_383",0,0,0,2.46907030413454,2.15012400257017
"E271_277",0.00337096302203675,0.0840792915402729,0,2.91168727716245,2.42498373051646
"E1882_292",0,0,1.94997265462298,1.76708548057282,2.07122010427009
"E1150_327",0,0,2.09395437536526,3.21008085468725,0
"E866_358",0,0,2.02337474955726,2.49591539647327,2.09892320539516
"E1076_237",1.94015979575993,2.59630429098447,0,0.0129037680977814,0
"E1857_67",0,0,0,0,1.95510583802704
"E625_383",0,0,0,3.06782352941259,2.36074569907536
"E1049_244",0,0,1.93655511055023,1.94305356600358,0
"E1331_369",0,0,2.62941117531533,2.63562727117993,0
"E1281_48",0,0.00763829448609133,0,0,2.20764257462868
"E268_39",0,0.0149980708146139,0,0,2.14711020479649
"E629_394",0,0,1.52643807206848,2.42561618121732,2.17405086373218
"E339_380",0,0,2.54335218042912,2.19865870923225,2.40894399227529
